SK_RequisicaoItem;NumeroRequisicao;DataSolicitacao;DataPrometida;DataAtendimento;SK_Item;SK_Deposito;SK_CentroCusto;SK_Solicitante;SK_Status;QuantidadeSolicitada;QuantidadeAtendida;QuantidadeNaoAtendida;CustoUnitario;HorasAtendimento;FlagAtendidoTotal;FlagNoPrazo;FlagOTIF;FlagPendente;MotivoNaoAtendimento
29;RQ000029;2025-10-23;2025-10-24;2025-10-23;1;1;11;23;3;7,0000;7,0000;0,0000;139,8021;7,27;1;1;1;0;
30;RQ000030;2025-12-09;2025-12-10;2025-12-09;1;1;12;13;3;4,0000;4,0000;0,0000;140,2505;5,56;1;1;1;0;
31;RQ000031;2025-12-05;2025-12-06;2025-12-05;1;1;4;39;3;4,0000;4,0000;0,0000;140,2505;6,64;1;1;1;0;
32;RQ000032;2025-12-22;2025-12-23;2025-12-22;1;1;11;19;3;4,0000;4,0000;0,0000;140,2505;5,59;1;1;1;0;
33;RQ000033;2026-01-23;2026-01-24;2026-01-23;1;1;11;23;3;12,0000;12,0000;0,0000;140,2505;6,49;1;1;1;0;
34;RQ000034;2026-01-28;2026-01-29;2026-01-28;1;1;11;7;3;12,0000;12,0000;0,0000;140,2505;2,27;1;1;1;0;
35;RQ000035;2026-02-12;2026-02-13;2026-02-12;1;1;12;22;4;36,0000;29,0000;7,0000;140,2505;3,94;0;1;0;0;Atendimento parcial
36;RQ000036;2026-03-05;2026-03-06;2026-03-05;1;1;4;30;3;13,0000;13,0000;0,0000;140,8822;7,91;1;1;1;0;
37;RQ000037;2026-04-21;2026-04-22;2026-04-21;1;1;1;11;3;8,0000;8,0000;0,0000;140,8822;2,47;1;1;1;0;
38;RQ000038;2026-04-06;2026-04-07;2026-04-07;1;1;2;26;3;8,0000;8,0000;0,0000;140,8822;29,43;1;1;1;0;
39;RQ000039;2026-04-14;2026-04-15;2026-04-16;1;1;7;24;3;8,0000;8,0000;0,0000;140,8822;50,40;1;0;0;0;
40;RQ000040;2026-05-05;2026-05-06;2026-05-05;1;1;7;5;3;7,0000;7,0000;0,0000;140,8822;3,14;1;1;1;0;
41;RQ000041;2026-05-27;2026-05-28;2026-05-27;1;1;5;34;3;7,0000;7,0000;0,0000;140,8822;4,19;1;1;1;0;
42;RQ000042;2026-05-20;2026-05-21;2026-05-20;1;1;6;9;3;7,0000;7,0000;0,0000;140,8822;5,81;1;1;1;0;
43;RQ000043;2026-06-04;2026-06-05;2026-06-04;1;1;12;17;3;8,0000;8,0000;0,0000;142,3367;1,26;1;1;1;0;
44;RQ000044;2026-06-25;2026-06-26;2026-06-25;1;1;10;2;3;8,0000;8,0000;0,0000;142,3367;5,63;1;1;1;0;
45;RQ000045;2026-07-10;2026-07-11;2026-07-12;1;1;11;39;3;4,0000;4,0000;0,0000;142,3367;50,89;1;0;0;0;
46;RQ000046;2026-08-07;2026-08-08;2026-08-07;1;1;4;13;3;3,0000;3,0000;0,0000;142,3367;6,82;1;1;1;0;
47;RQ000047;2026-08-12;2026-08-13;2026-08-12;1;1;7;32;3;3,0000;3,0000;0,0000;142,3367;1,28;1;1;1;0;
48;RQ000048;2026-08-07;2026-08-08;2026-08-07;1;1;8;6;3;3,0000;3,0000;0,0000;142,3367;1,02;1;1;1;0;
49;RQ000049;2026-08-04;2026-08-05;2026-08-04;1;1;11;33;3;3,0000;3,0000;0,0000;142,3367;7,65;1;1;1;0;
50;RQ000050;2024-09-04;2024-09-05;2024-09-04;1;3;1;21;3;29,0000;29,0000;0,0000;137,4400;3,52;1;1;1;0;
51;RQ000051;2024-10-11;2024-10-12;2024-10-11;1;3;2;18;3;22,0000;22,0000;0,0000;137,0372;7,74;1;1;1;0;
52;RQ000052;2024-11-28;2024-11-29;2024-11-28;1;3;2;37;3;9,0000;9,0000;0,0000;137,0372;5,14;1;1;1;0;
53;RQ000053;2024-11-22;2024-11-23;2024-11-22;1;3;3;40;3;9,0000;9,0000;0,0000;137,0372;6,45;1;1;1;0;
54;RQ000054;2024-12-16;2024-12-17;2024-12-16;1;3;2;5;3;5,0000;5,0000;0,0000;137,0372;4,08;1;1;1;0;
55;RQ000055;2024-12-09;2024-12-10;2024-12-11;1;3;6;37;3;5,0000;5,0000;0,0000;137,0372;54,37;1;0;0;0;
56;RQ000056;2025-01-27;2025-01-28;2025-01-27;1;3;10;31;3;2,0000;2,0000;0,0000;136,4499;4,54;1;1;1;0;
57;RQ000057;2025-01-28;2025-01-29;2025-01-29;1;3;3;22;3;2,0000;2,0000;0,0000;136,4499;27,24;1;1;1;0;
58;RQ000058;2025-01-09;2025-01-10;2025-01-09;1;3;9;26;3;2,0000;2,0000;0,0000;136,4499;5,50;1;1;1;0;
59;RQ000059;2025-01-27;2025-01-28;2025-01-27;1;3;2;29;3;2,0000;2,0000;0,0000;136,4499;6,61;1;1;1;0;
60;RQ000060;2025-02-14;2025-02-15;2025-02-14;1;3;9;39;3;4,0000;4,0000;0,0000;136,4499;6,78;1;1;1;0;
61;RQ000061;2025-02-20;2025-02-21;2025-02-20;1;3;5;30;3;4,0000;4,0000;0,0000;136,4499;4,94;1;1;1;0;
62;RQ000062;2025-02-11;2025-02-12;2025-02-11;1;3;1;22;3;4,0000;4,0000;0,0000;136,4499;6,91;1;1;1;0;
63;RQ000063;2025-02-18;2025-02-19;2025-02-18;1;3;10;29;3;4,0000;4,0000;0,0000;136,4499;5,60;1;1;1;0;
64;RQ000064;2025-03-18;2025-03-19;2025-03-18;1;3;6;11;3;6,0000;6,0000;0,0000;136,4499;1,32;1;1;1;0;
65;RQ000065;2025-03-05;2025-03-06;2025-03-05;1;3;12;40;3;6,0000;6,0000;0,0000;136,4499;1,75;1;1;1;0;
66;RQ000066;2025-03-07;2025-03-08;2025-03-07;1;3;2;30;3;6,0000;6,0000;0,0000;136,4499;3,75;1;1;1;0;
67;RQ000067;2025-04-04;2025-04-05;2025-04-04;1;3;8;9;3;6,0000;6,0000;0,0000;136,4499;7,69;1;1;1;0;
68;RQ000068;2025-04-16;2025-04-17;2025-04-16;1;3;9;28;3;6,0000;6,0000;0,0000;136,4499;4,87;1;1;1;0;
69;RQ000069;2025-04-16;2025-04-17;2025-04-16;1;3;3;9;3;6,0000;6,0000;0,0000;136,4499;2,22;1;1;1;0;
70;RQ000070;2025-04-04;2025-04-05;2025-04-04;1;3;11;33;3;6,0000;6,0000;0,0000;136,4499;7,18;1;1;1;0;
71;RQ000071;2025-04-29;2025-04-30;2025-04-29;1;3;7;16;4;6,0000;4,0000;2,0000;136,4499;7,41;0;1;0;0;Atendimento parcial
72;RQ000072;2025-05-23;2025-05-24;2025-05-23;1;3;9;40;3;8,0000;8,0000;0,0000;135,9588;2,41;1;1;1;0;
73;RQ000073;2025-05-23;2025-05-24;2025-05-23;1;3;11;12;3;8,0000;8,0000;0,0000;135,9588;5,71;1;1;1;0;
74;RQ000074;2025-05-23;2025-05-24;2025-05-23;1;3;6;36;3;8,0000;8,0000;0,0000;135,9588;6,33;1;1;1;0;
75;RQ000075;2025-06-10;2025-06-11;2025-06-10;1;3;1;10;3;2,0000;2,0000;0,0000;135,9588;1,18;1;1;1;0;
76;RQ000076;2025-06-02;2025-06-03;2025-06-02;1;3;1;11;3;2,0000;2,0000;0,0000;135,9588;6,25;1;1;1;0;
77;RQ000077;2025-06-10;2025-06-11;2025-06-10;1;3;5;19;3;2,0000;2,0000;0,0000;135,9588;1,43;1;1;1;0;
78;RQ000078;2025-06-25;2025-06-26;2025-06-25;1;3;1;40;3;2,0000;2,0000;0,0000;135,9588;4,17;1;1;1;0;
79;RQ000079;2025-06-24;2025-06-25;2025-06-24;1;3;4;16;3;2,0000;2,0000;0,0000;135,9588;4,93;1;1;1;0;
80;RQ000080;2025-07-31;2025-08-01;2025-07-31;1;3;6;17;3;6,0000;6,0000;0,0000;135,9588;1,38;1;1;1;0;
81;RQ000081;2025-07-07;2025-07-08;2025-07-07;1;3;8;24;3;6,0000;6,0000;0,0000;135,9588;7,38;1;1;1;0;
82;RQ000082;2025-07-25;2025-07-26;2025-07-25;1;3;9;13;3;6,0000;6,0000;0,0000;135,9588;2,38;1;1;1;0;
83;RQ000083;2025-07-10;2025-07-11;2025-07-10;1;3;3;12;3;6,0000;6,0000;0,0000;135,9588;1,52;1;1;1;0;
84;RQ000084;2025-09-22;2025-09-23;2025-09-22;1;3;8;5;3;4,0000;4,0000;0,0000;136,5052;4,85;1;1;1;0;
85;RQ000085;2025-09-26;2025-09-27;2025-09-26;1;3;6;34;3;4,0000;4,0000;0,0000;136,5052;7,70;1;1;1;0;
86;RQ000086;2025-09-03;2025-09-04;2025-09-03;1;3;3;6;3;4,0000;4,0000;0,0000;136,5052;4,76;1;1;1;0;
87;RQ000087;2025-09-12;2025-09-13;2025-09-12;1;3;4;19;3;4,0000;4,0000;0,0000;136,5052;3,32;1;1;1;0;
88;RQ000088;2025-09-25;2025-09-26;2025-09-25;1;3;9;1;3;4,0000;4,0000;0,0000;136,5052;4,93;1;1;1;0;
89;RQ000089;2025-10-22;2025-10-23;2025-10-22;1;3;7;25;3;19,0000;19,0000;0,0000;136,5052;7,61;1;1;1;0;
90;RQ000090;2025-11-26;2025-11-27;2025-11-26;1;3;8;13;3;2,0000;2,0000;0,0000;136,5052;3,08;1;1;1;0;
91;RQ000091;2025-11-11;2025-11-12;2025-11-11;1;3;2;35;3;2,0000;2,0000;0,0000;136,5052;2,17;1;1;1;0;
92;RQ000092;2025-11-18;2025-11-19;2025-11-18;1;3;11;28;3;2,0000;2,0000;0,0000;136,5052;7,05;1;1;1;0;
93;RQ000093;2025-11-27;2025-11-28;2025-11-27;1;3;4;28;3;2,0000;2,0000;0,0000;136,5052;5,92;1;1;1;0;
94;RQ000094;2025-11-21;2025-11-22;2025-11-21;1;3;12;22;3;2,0000;2,0000;0,0000;136,5052;1,17;1;1;1;0;
95;RQ000095;2025-12-01;2025-12-02;2025-12-01;1;3;11;40;3;7,0000;7,0000;0,0000;136,2455;5,49;1;1;1;0;
96;RQ000096;2025-12-03;2025-12-04;2025-12-03;1;3;10;33;3;7,0000;7,0000;0,0000;136,2455;3,50;1;1;1;0;
97;RQ000097;2025-12-04;2025-12-05;2025-12-04;1;3;11;29;3;7,0000;7,0000;0,0000;136,2455;1,61;1;1;1;0;
98;RQ000098;2026-01-21;2026-01-22;2026-01-21;1;3;5;24;3;3,0000;3,0000;0,0000;136,2455;7,40;1;1;1;0;
99;RQ000099;2026-01-01;2026-01-02;2026-01-01;1;3;9;37;3;3,0000;3,0000;0,0000;136,2455;1,29;1;1;1;0;
100;RQ000100;2026-01-20;2026-01-21;2026-01-20;1;3;9;14;3;3,0000;3,0000;0,0000;136,2455;1,60;1;1;1;0;
101;RQ000101;2026-01-29;2026-01-30;2026-01-29;1;3;6;33;3;3,0000;3,0000;0,0000;136,2455;7,34;1;1;1;0;
102;RQ000102;2026-01-05;2026-01-06;2026-01-05;1;3;3;13;3;3,0000;3,0000;0,0000;136,2455;6,84;1;1;1;0;
103;RQ000103;2026-03-04;2026-03-05;2026-03-04;1;3;10;29;3;5,0000;5,0000;0,0000;136,2455;3,22;1;1;1;0;
104;RQ000104;2026-03-11;2026-03-12;2026-03-11;1;3;11;37;3;5,0000;5,0000;0,0000;136,2455;5,09;1;1;1;0;
105;RQ000105;2026-04-29;2026-04-30;2026-04-29;1;3;8;32;3;6,0000;6,0000;0,0000;135,4399;6,42;1;1;1;0;
106;RQ000106;2026-04-06;2026-04-07;2026-04-06;1;3;10;9;3;6,0000;6,0000;0,0000;135,4399;7,01;1;1;1;0;
107;RQ000107;2026-04-29;2026-04-30;2026-04-29;1;3;4;5;3;6,0000;6,0000;0,0000;135,4399;7,20;1;1;1;0;
108;RQ000108;2026-05-19;2026-05-20;2026-05-19;1;3;10;17;3;5,0000;5,0000;0,0000;135,4399;1,26;1;1;1;0;
109;RQ000109;2026-05-18;2026-05-19;2026-05-18;1;3;8;26;3;5,0000;5,0000;0,0000;135,4399;2,04;1;1;1;0;
110;RQ000110;2026-05-08;2026-05-09;2026-05-08;1;3;12;33;3;5,0000;5,0000;0,0000;135,4399;1,94;1;1;1;0;
111;RQ000111;2026-05-13;2026-05-14;2026-05-13;1;3;9;40;3;5,0000;5,0000;0,0000;135,4399;6,94;1;1;1;0;
112;RQ000112;2026-05-22;2026-05-23;2026-05-22;1;3;9;37;3;5,0000;5,0000;0,0000;135,4399;2,11;1;1;1;0;
113;RQ000113;2026-06-22;2026-06-23;2026-06-22;1;3;9;31;3;14,0000;14,0000;0,0000;134,7258;3,53;1;1;1;0;
114;RQ000114;2026-07-27;2026-07-28;2026-07-27;1;3;5;25;3;9,0000;9,0000;0,0000;134,7258;4,99;1;1;1;0;
115;RQ000115;2026-07-21;2026-07-22;2026-07-21;1;3;6;5;3;9,0000;9,0000;0,0000;134,7258;7,29;1;1;1;0;
116;RQ000116;2026-07-17;2026-07-18;2026-07-17;1;3;7;26;3;9,0000;9,0000;0,0000;134,7258;2,56;1;1;1;0;
117;RQ000117;2026-08-17;2026-08-18;2026-08-17;1;3;8;18;3;2,0000;2,0000;0,0000;134,7258;1,54;1;1;1;0;
118;RQ000118;2026-08-07;2026-08-08;2026-08-07;1;3;3;8;3;2,0000;2,0000;0,0000;134,7258;5,21;1;1;1;0;
119;RQ000119;2026-08-14;2026-08-15;2026-08-15;1;3;12;38;3;2,0000;2,0000;0,0000;134,7258;28,35;1;1;1;0;
120;RQ000120;2026-08-06;2026-08-07;2026-08-06;1;3;7;38;3;2,0000;2,0000;0,0000;134,7258;1,90;1;1;1;0;
121;RQ000121;2026-08-06;2026-08-07;2026-08-06;1;3;11;10;3;2,0000;2,0000;0,0000;134,7258;7,24;1;1;1;0;
122;RQ000122;2024-09-06;2024-09-07;2024-09-06;2;1;7;12;3;21,0000;21,0000;0,0000;222,1600;6,56;1;1;1;0;
123;RQ000123;2024-09-20;2024-09-21;2024-09-20;2;1;9;22;3;21,0000;21,0000;0,0000;222,1600;6,07;1;1;1;0;
124;RQ000124;2024-09-30;2024-10-01;2024-09-30;2;1;10;25;3;21,0000;21,0000;0,0000;222,1600;2,61;1;1;1;0;
125;RQ000125;2024-09-05;2024-09-06;2024-09-05;2;1;1;33;3;21,0000;21,0000;0,0000;222,1600;7,02;1;1;1;0;
126;RQ000126;2024-10-17;2024-10-18;2024-10-17;2;1;2;39;3;51,0000;51,0000;0,0000;222,1600;1,91;1;1;1;0;
127;RQ000127;2024-10-18;2024-10-19;2024-10-18;2;1;11;24;3;51,0000;51,0000;0,0000;222,1600;4,65;1;1;1;0;
128;RQ000128;2024-10-28;2024-10-29;2024-10-28;2;1;12;31;3;51,0000;51,0000;0,0000;222,1600;2,61;1;1;1;0;
129;RQ000129;2024-10-25;2024-10-26;2024-10-25;2;1;6;37;4;51,0000;30,0000;21,0000;222,1600;6,19;0;1;0;0;Atendimento parcial
130;RQ000130;2024-10-04;2024-10-05;;2;1;3;15;1;51,0000;0,0000;51,0000;222,1600;;0;0;0;1;Falta de saldo
131;RQ000131;2024-12-05;2024-12-06;2024-12-05;2;1;11;35;3;81,0000;81,0000;0,0000;222,4612;2,83;1;1;1;0;
132;RQ000132;2025-01-16;2025-01-17;2025-01-16;2;1;6;20;3;24,0000;24,0000;0,0000;222,4612;4,39;1;1;1;0;
133;RQ000133;2025-01-23;2025-01-24;2025-01-23;2;1;12;29;3;24,0000;24,0000;0,0000;222,4612;6,23;1;1;1;0;
134;RQ000134;2025-01-23;2025-01-24;2025-01-23;2;1;2;22;3;24,0000;24,0000;0,0000;222,4612;3,80;1;1;1;0;
135;RQ000135;2025-01-20;2025-01-21;2025-01-20;2;1;11;1;3;24,0000;24,0000;0,0000;222,4612;2,13;1;1;1;0;
136;RQ000136;2025-01-03;2025-01-04;2025-01-03;2;1;8;5;3;24,0000;24,0000;0,0000;222,4612;4,05;1;1;1;0;
137;RQ000137;2025-03-21;2025-03-22;2025-03-23;2;1;8;3;3;92,0000;92,0000;0,0000;222,4612;51,00;1;0;0;0;
138;RQ000138;2025-03-26;2025-03-27;2025-03-26;2;1;9;11;3;92,0000;92,0000;0,0000;222,4612;2,62;1;1;1;0;
139;RQ000139;2025-04-09;2025-04-10;2025-04-09;2;1;6;13;3;126,0000;126,0000;0,0000;222,4612;3,84;1;1;1;0;
140;RQ000140;2025-05-12;2025-05-13;2025-05-12;2;1;4;26;3;97,0000;97,0000;0,0000;222,4612;2,36;1;1;1;0;
141;RQ000141;2025-05-19;2025-05-20;2025-05-19;2;1;5;36;3;97,0000;97,0000;0,0000;222,4612;4,54;1;1;1;0;
142;RQ000142;2025-05-26;2025-05-27;2025-05-26;2;1;5;37;4;97,0000;48,0000;49,0000;222,4612;6,69;0;1;0;0;Atendimento parcial
143;RQ000143;2025-06-04;2025-06-05;2025-06-04;2;1;2;15;3;89,0000;89,0000;0,0000;224,2096;6,52;1;1;1;0;
144;RQ000144;2025-06-23;2025-06-24;2025-06-23;2;1;6;35;3;89,0000;89,0000;0,0000;224,2096;3,47;1;1;1;0;
145;RQ000145;2025-06-23;2025-06-24;2025-06-23;2;1;4;22;3;89,0000;89,0000;0,0000;224,2096;3,79;1;1;1;0;
146;RQ000146;2025-06-03;2025-06-04;2025-06-03;2;1;3;37;3;89,0000;89,0000;0,0000;224,2096;3,47;1;1;1;0;
147;RQ000147;2025-08-27;2025-08-28;2025-08-27;2;1;6;6;3;66,0000;66,0000;0,0000;224,2096;1,75;1;1;1;0;
148;RQ000148;2025-08-22;2025-08-23;2025-08-22;2;1;8;35;3;66,0000;66,0000;0,0000;224,2096;6,35;1;1;1;0;
149;RQ000149;2025-09-09;2025-09-10;2025-09-09;2;1;3;18;3;39,0000;39,0000;0,0000;224,2096;7,41;1;1;1;0;
150;RQ000150;2025-09-08;2025-09-09;2025-09-09;2;1;3;35;3;39,0000;39,0000;0,0000;224,2096;28,35;1;1;1;0;
151;RQ000151;2025-09-02;2025-09-03;2025-09-02;2;1;6;12;3;39,0000;39,0000;0,0000;224,2096;5,80;1;1;1;0;
152;RQ000152;2025-09-15;2025-09-16;2025-09-15;2;1;12;1;3;39,0000;39,0000;0,0000;224,2096;3,21;1;1;1;0;
153;RQ000153;2025-09-01;2025-09-02;2025-09-01;2;1;4;24;3;39,0000;39,0000;0,0000;224,2096;1,71;1;1;1;0;
154;RQ000154;2025-10-28;2025-10-29;2025-10-28;2;1;5;37;3;67,0000;67,0000;0,0000;224,2490;5,00;1;1;1;0;
155;RQ000155;2025-10-22;2025-10-23;2025-10-22;2;1;2;36;3;67,0000;67,0000;0,0000;224,2490;6,63;1;1;1;0;
156;RQ000156;2025-10-14;2025-10-15;2025-10-14;2;1;4;10;3;67,0000;67,0000;0,0000;224,2490;7,71;1;1;1;0;
157;RQ000157;2025-11-24;2025-11-25;2025-11-24;2;1;8;37;3;52,0000;52,0000;0,0000;224,2490;4,93;1;1;1;0;
158;RQ000158;2025-11-13;2025-11-14;2025-11-13;2;1;12;17;3;52,0000;52,0000;0,0000;224,2490;2,51;1;1;1;0;
159;RQ000159;2025-11-27;2025-11-28;2025-11-27;2;1;2;24;3;52,0000;52,0000;0,0000;224,2490;3,34;1;1;1;0;
160;RQ000160;2025-11-12;2025-11-13;2025-11-12;2;1;9;2;3;52,0000;52,0000;0,0000;224,2490;2,80;1;1;1;0;
161;RQ000161;2025-11-14;2025-11-15;2025-11-14;2;1;6;13;3;52,0000;52,0000;0,0000;224,2490;7,74;1;1;1;0;
162;RQ000162;2026-01-15;2026-01-16;2026-01-15;2;1;3;22;3;12,0000;12,0000;0,0000;224,2490;5,48;1;1;1;0;
163;RQ000163;2026-01-14;2026-01-15;2026-01-14;2;1;10;5;3;12,0000;12,0000;0,0000;224,2490;6,94;1;1;1;0;
164;RQ000164;2026-01-06;2026-01-07;2026-01-06;2;1;4;18;3;12,0000;12,0000;0,0000;224,2490;5,57;1;1;1;0;
165;RQ000165;2026-01-20;2026-01-21;2026-01-20;2;1;7;24;3;12,0000;12,0000;0,0000;224,2490;4,11;1;1;1;0;
166;RQ000166;2026-01-19;2026-01-20;2026-01-19;2;1;8;2;3;12,0000;12,0000;0,0000;224,2490;2,29;1;1;1;0;
167;RQ000167;2026-02-06;2026-02-07;2026-02-07;2;1;2;2;3;146,0000;146,0000;0,0000;224,2490;28,84;1;1;1;0;
168;RQ000168;2026-03-05;2026-03-06;2026-03-05;2;1;9;23;3;19,0000;19,0000;0,0000;225,5467;1,20;1;1;1;0;
169;RQ000169;2026-03-30;2026-03-31;2026-03-30;2;1;8;18;3;19,0000;19,0000;0,0000;225,5467;7,10;1;1;1;0;
170;RQ000170;2026-03-18;2026-03-19;2026-03-18;2;1;3;12;3;19,0000;19,0000;0,0000;225,5467;5,88;1;1;1;0;
171;RQ000171;2026-03-19;2026-03-20;2026-03-19;2;1;8;37;3;19,0000;19,0000;0,0000;225,5467;5,45;1;1;1;0;
172;RQ000172;2026-04-15;2026-04-16;2026-04-15;2;1;6;1;3;34,0000;34,0000;0,0000;225,5467;2,09;1;1;1;0;
173;RQ000173;2026-05-01;2026-05-02;2026-05-01;2;1;5;36;3;49,0000;49,0000;0,0000;225,5467;6,58;1;1;1;0;
174;RQ000174;2026-05-12;2026-05-13;2026-05-12;2;1;7;16;3;49,0000;49,0000;0,0000;225,5467;4,06;1;1;1;0;
175;RQ000175;2026-05-06;2026-05-07;2026-05-06;2;1;12;15;3;49,0000;49,0000;0,0000;225,5467;6,80;1;1;1;0;
176;RQ000176;2026-06-10;2026-06-11;2026-06-10;2;1;12;13;3;117,0000;117,0000;0,0000;225,5467;2,88;1;1;1;0;
177;RQ000177;2026-06-03;2026-06-04;2026-06-03;2;1;3;40;3;117,0000;117,0000;0,0000;225,5467;5,46;1;1;1;0;
178;RQ000178;2026-06-15;2026-06-16;2026-06-15;2;1;12;2;3;117,0000;117,0000;0,0000;225,5467;2,31;1;1;1;0;
179;RQ000179;2026-08-07;2026-08-08;2026-08-07;2;1;7;16;3;82,0000;82,0000;0,0000;224,7011;1,85;1;1;1;0;
180;RQ000180;2026-08-13;2026-08-14;2026-08-13;2;1;4;30;3;82,0000;82,0000;0,0000;224,7011;1,23;1;1;1;0;
181;RQ000181;2024-09-17;2024-09-18;2024-09-17;3;1;5;24;3;20,0000;20,0000;0,0000;110,4900;3,09;1;1;1;0;
182;RQ000182;2024-09-02;2024-09-03;2024-09-02;3;1;4;28;3;20,0000;20,0000;0,0000;110,4900;2,65;1;1;1;0;
183;RQ000183;2024-09-11;2024-09-12;2024-09-11;3;1;3;26;3;20,0000;20,0000;0,0000;110,4900;5,09;1;1;1;0;
184;RQ000184;2024-09-26;2024-09-27;2024-09-26;3;1;1;31;3;20,0000;20,0000;0,0000;110,4900;5,07;1;1;1;0;
185;RQ000185;2024-09-23;2024-09-24;2024-09-23;3;1;3;11;3;20,0000;20,0000;0,0000;110,4900;1,63;1;1;1;0;
186;RQ000186;2024-10-08;2024-10-09;2024-10-08;3;1;9;29;3;6,0000;6,0000;0,0000;111,3377;6,30;1;1;1;0;
187;RQ000187;2024-10-24;2024-10-25;2024-10-24;3;1;1;9;3;6,0000;6,0000;0,0000;111,3377;3,51;1;1;1;0;
188;RQ000188;2024-10-09;2024-10-10;2024-10-09;3;1;8;35;3;6,0000;6,0000;0,0000;111,3377;4,91;1;1;1;0;
