SK_CompraItem;NumeroPedido;DataPedido;DataPrometida;DataRecebimento;SK_Item;SK_Fornecedor;SK_Deposito;QuantidadePedida;QuantidadeRecebida;QuantidadeDevolvida;PrecoUnitario;ValorPedido;ValorRecebido;LeadTimeRealDias;FlagEntregaNoPrazo;FlagRecebimentoTotal;StatusPedido
28;PC000028;2024-12-11;2025-01-28;2025-01-15;3;25;1;177,0000;177,0000;0,0000;108,8818;19272,08;19272,08;35;SIM;SIM;Recebido
29;PC000029;2025-02-07;2025-03-27;2025-03-17;3;25;1;181,0000;181,0000;0,0000;111,9338;20260,02;20260,02;38;SIM;SIM;Recebido
30;PC000030;2025-03-07;2025-04-24;2025-04-13;3;25;1;100,0000;100,0000;0,0000;115,2962;11529,62;11529,62;37;SIM;SIM;Recebido
31;PC000031;2025-06-23;2025-08-10;2025-07-24;3;25;1;109,0000;109,0000;0,0000;114,1516;12442,52;12442,52;31;SIM;SIM;Recebido
32;PC000032;2025-08-28;2025-10-15;2025-09-22;3;25;1;150,0000;123,0000;0,0000;115,3164;17297,46;14183,92;25;SIM;NAO;Recebido
33;PC000033;2025-11-24;2026-01-11;2025-12-29;3;25;1;167,0000;167,0000;0,0000;117,1967;19571,85;19571,85;35;SIM;SIM;Recebido
34;PC000034;2025-12-18;2026-02-04;2026-02-03;3;25;1;107,0000;107,0000;0,0000;115,6400;12373,48;12373,48;47;SIM;SIM;Recebido
35;PC000035;2026-01-28;2026-03-17;2026-03-06;3;25;1;243,0000;243,0000;0,0000;117,0730;28448,74;28448,74;37;SIM;SIM;Recebido
36;PC000036;2026-02-27;2026-04-16;2026-04-21;3;25;1;236,0000;236,0000;0,0000;121,5699;28690,50;28690,50;53;NAO;SIM;Recebido
37;PC000037;2026-03-10;2026-04-27;2026-05-01;3;25;1;98,0000;98,0000;0,0000;119,7219;11732,75;11732,75;52;NAO;SIM;Recebido
38;PC000038;2024-09-04;2024-09-22;2024-09-15;4;13;1;672,0000;672,0000;0,0000;255,0866;171418,20;171418,20;11;SIM;SIM;Recebido
39;PC000039;2025-03-25;2025-04-12;2025-04-12;4;13;1;663,0000;663,0000;0,0000;241,6931;160242,53;160242,53;18;SIM;SIM;Recebido
40;PC000040;2025-07-08;2025-07-26;2025-07-26;4;13;1;780,0000;780,0000;0,0000;244,1470;190434,66;190434,66;18;SIM;SIM;Recebido
41;PC000041;2026-02-04;2026-02-22;2026-02-20;4;13;1;640,0000;640,0000;0,0000;242,8977;155454,53;155454,53;16;SIM;SIM;Recebido
42;PC000042;2026-07-21;2026-08-08;2026-08-04;4;13;1;678,0000;678,0000;0,0000;257,4494;174550,69;174550,69;14;SIM;SIM;Recebido
43;PC000043;2024-09-03;2024-09-26;2024-09-22;5;8;1;184,0000;184,0000;0,0000;1782,3574;327953,76;327953,76;19;SIM;SIM;Recebido
44;PC000044;2024-11-08;2024-12-01;2024-11-20;5;8;1;163,0000;163,0000;0,0000;1841,7622;300207,24;300207,24;12;SIM;SIM;Recebido
45;PC000045;2025-02-07;2025-03-02;2025-02-22;5;8;1;203,0000;203,0000;0,0000;1900,0194;385703,94;385703,94;15;SIM;SIM;Recebido
46;PC000046;2025-05-30;2025-06-22;2025-06-14;5;8;1;229,0000;229,0000;0,0000;1867,8166;427730,00;427730,00;15;SIM;SIM;Recebido
47;PC000047;2025-10-16;2025-11-08;2025-11-03;5;8;1;232,0000;232,0000;0,0000;1834,8792;425691,97;425691,97;18;SIM;SIM;Recebido
48;PC000048;2024-11-08;2024-12-01;2024-11-21;5;8;2;174,0000;174,0000;0,0000;1900,0245;330604,26;330604,26;13;SIM;SIM;Recebido
49;PC000049;2025-02-14;2025-03-09;2025-02-27;5;8;2;176,0000;176,0000;10,0000;1818,7502;320100,04;320100,04;13;SIM;SIM;Recebido
50;PC000050;2025-08-26;2025-09-18;2025-09-06;5;8;2;190,0000;190,0000;0,0000;1798,3696;341690,22;341690,22;11;SIM;SIM;Recebido
51;PC000051;2025-11-11;2025-12-04;2025-12-08;5;8;2;189,0000;189,0000;0,0000;1892,9659;357770,56;357770,56;27;NAO;SIM;Recebido
52;PC000052;2026-04-30;2026-05-23;2026-05-14;5;8;2;204,0000;204,0000;0,0000;1860,9669;379637,25;379637,25;14;SIM;SIM;Recebido
53;PC000053;2024-09-17;2024-10-20;2024-10-17;6;8;1;424,0000;424,0000;0,0000;174,8592;74140,30;74140,30;30;SIM;SIM;Recebido
54;PC000054;2024-12-27;2025-01-29;2025-01-25;6;8;1;506,0000;506,0000;0,0000;172,6642;87368,09;87368,09;29;SIM;SIM;Recebido
55;PC000055;2025-03-12;2025-04-14;2025-04-06;6;8;1;448,0000;448,0000;8,0000;183,2900;82113,92;82113,92;25;SIM;SIM;Recebido
56;PC000056;2025-05-21;2025-06-23;2025-06-09;6;8;1;506,0000;506,0000;0,0000;182,1378;92161,73;92161,73;19;SIM;SIM;Recebido
57;PC000057;2025-08-18;2025-09-20;2025-09-22;6;8;1;573,0000;573,0000;19,0000;186,4576;106840,20;106840,20;35;NAO;SIM;Recebido
58;PC000058;2025-10-29;2025-12-01;2025-11-23;6;8;1;427,0000;427,0000;0,0000;188,8898;80655,94;80655,94;25;SIM;SIM;Recebido
59;PC000059;2026-01-08;2026-02-10;2026-02-11;6;8;1;466,0000;466,0000;0,0000;179,0809;83451,70;83451,70;34;NAO;SIM;Recebido
60;PC000060;2026-04-22;2026-05-25;2026-05-18;6;8;1;629,0000;629,0000;0,0000;189,8636;119424,20;119424,20;26;SIM;SIM;Recebido
61;PC000061;2026-07-30;2026-09-01;2026-08-26;6;8;1;531,0000;401,0000;0,0000;192,0985;102004,30;77031,50;27;SIM;NAO;Recebido
62;PC000062;2024-09-25;2024-10-28;2024-10-25;7;24;3;547,0000;547,0000;0,0000;25,7094;14063,04;14063,04;30;SIM;SIM;Recebido
63;PC000063;2025-01-22;2025-02-24;2025-02-21;7;24;3;410,0000;410,0000;0,0000;25,6304;10508,46;10508,46;30;SIM;SIM;Recebido
64;PC000064;2025-04-10;2025-05-13;2025-04-30;7;24;3;389,0000;389,0000;0,0000;24,7540;9629,31;9629,31;20;SIM;SIM;Recebido
65;PC000065;2025-08-18;2025-09-20;2025-09-13;7;24;3;423,0000;423,0000;0,0000;26,5005;11209,71;11209,71;26;SIM;SIM;Recebido
66;PC000066;2025-12-25;2026-01-27;2026-01-25;7;24;3;396,0000;396,0000;0,0000;25,5861;10132,10;10132,10;31;SIM;SIM;Recebido
67;PC000067;2026-04-30;2026-06-02;2026-05-30;7;24;3;424,0000;424,0000;0,0000;26,0882;11061,40;11061,40;30;SIM;SIM;Recebido
68;PC000068;2026-07-20;2026-08-22;2026-08-19;7;24;3;401,0000;401,0000;0,0000;25,2865;10139,89;10139,89;30;SIM;SIM;Recebido
69;PC000069;2024-09-30;2024-11-02;2024-10-18;7;24;1;456,0000;456,0000;0,0000;25,5115;11633,24;11633,24;18;SIM;SIM;Recebido
70;PC000070;2025-01-13;2025-02-15;2025-02-09;7;24;1;406,0000;406,0000;0,0000;26,3268;10688,68;10688,68;27;SIM;SIM;Recebido
71;PC000071;2025-05-14;2025-06-16;2025-06-01;7;24;1;458,0000;458,0000;0,0000;26,0579;11934,52;11934,52;18;SIM;SIM;Recebido
72;PC000072;2025-09-02;2025-10-05;2025-09-22;7;24;1;440,0000;440,0000;0,0000;26,7389;11765,12;11765,12;20;SIM;SIM;Recebido
73;PC000073;2026-01-16;2026-02-18;2026-02-17;7;24;1;458,0000;458,0000;0,0000;25,7620;11799,00;11799,00;32;SIM;SIM;Recebido
74;PC000074;2026-04-23;2026-05-26;2026-05-14;7;24;1;457,0000;457,0000;0,0000;27,2456;12451,24;12451,24;21;SIM;SIM;Recebido
75;PC000075;2026-08-24;2026-09-26;;7;24;1;464,0000;0,0000;0,0000;25,6254;11890,19;0,00;;NAO;NAO;Aberto
76;PC000076;2024-09-19;2024-09-29;2024-09-25;8;21;1;338,0000;338,0000;0,0000;71,2778;24091,90;24091,90;6;SIM;SIM;Recebido
77;PC000077;2025-01-14;2025-01-24;2025-01-16;8;21;1;354,0000;354,0000;0,0000;72,0060;25490,12;25490,12;2;SIM;SIM;Recebido
78;PC000078;2025-03-31;2025-04-10;2025-04-06;8;21;1;355,0000;355,0000;0,0000;74,8446;26569,83;26569,83;6;SIM;SIM;Recebido
79;PC000079;2025-06-05;2025-06-15;2025-06-10;8;21;1;252,0000;252,0000;0,0000;72,3888;18241,98;18241,98;5;SIM;SIM;Recebido
80;PC000080;2026-01-23;2026-02-02;2026-01-30;8;21;1;355,0000;355,0000;0,0000;75,2821;26725,15;26725,15;7;SIM;SIM;Recebido
81;PC000081;2026-04-20;2026-04-30;2026-04-27;8;21;1;263,0000;251,0000;0,0000;72,3763;19034,97;18166,45;7;SIM;NAO;Recebido
82;PC000082;2026-06-08;2026-06-18;2026-06-16;8;21;1;265,0000;265,0000;0,0000;71,9373;19063,38;19063,38;8;SIM;SIM;Recebido
83;PC000083;2024-09-12;2024-09-22;2024-09-19;8;21;3;355,0000;355,0000;0,0000;76,9730;27325,42;27325,42;7;SIM;SIM;Recebido
84;PC000084;2025-01-14;2025-01-24;2025-01-19;8;21;3;297,0000;297,0000;0,0000;76,5121;22724,09;22724,09;5;SIM;SIM;Recebido
85;PC000085;2025-04-21;2025-05-01;2025-04-25;8;21;3;270,0000;270,0000;0,0000;71,9538;19427,53;19427,53;4;SIM;SIM;Recebido
86;PC000086;2025-06-24;2025-07-04;2025-06-30;8;21;3;344,0000;344,0000;0,0000;72,7188;25015,27;25015,27;6;SIM;SIM;Recebido
87;PC000087;2025-11-07;2025-11-17;2025-11-12;8;21;3;355,0000;355,0000;0,0000;72,3990;25701,65;25701,65;5;SIM;SIM;Recebido
88;PC000088;2026-01-02;2026-01-12;2026-01-07;8;21;3;284,0000;284,0000;0,0000;77,6103;22041,33;22041,33;5;SIM;SIM;Recebido
89;PC000089;2026-04-28;2026-05-08;2026-05-05;8;21;3;242,0000;242,0000;0,0000;77,5931;18777,53;18777,53;7;SIM;SIM;Recebido
90;PC000090;2024-09-10;2024-10-28;2024-10-16;9;1;1;527,0000;527,0000;0,0000;89,8908;47372,45;47372,45;36;SIM;SIM;Recebido
91;PC000091;2025-01-16;2025-03-05;2025-02-22;9;1;1;331,0000;331,0000;7,0000;91,1004;30154,23;30154,23;37;SIM;SIM;Recebido
92;PC000092;2025-03-18;2025-05-05;2025-04-23;9;1;1;344,0000;315,0000;0,0000;89,4114;30757,52;28164,59;36;SIM;NAO;Recebido
93;PC000093;2025-05-08;2025-06-25;2025-06-21;9;1;1;375,0000;375,0000;0,0000;88,4080;33153,00;33153,00;44;SIM;SIM;Recebido
94;PC000094;2025-08-22;2025-10-09;2025-09-15;9;1;1;427,0000;427,0000;0,0000;93,4633;39908,83;39908,83;24;SIM;SIM;Recebido
95;PC000095;2025-12-30;2026-02-16;2026-02-22;9;1;1;308,0000;308,0000;0,0000;95,8849;29532,55;29532,55;54;NAO;SIM;Recebido
96;PC000096;2026-01-15;2026-03-04;2026-02-16;9;1;1;371,0000;371,0000;0,0000;96,5874;35833,93;35833,93;32;SIM;SIM;Recebido
97;PC000097;2026-07-16;2026-09-02;;9;1;1;352,0000;0,0000;0,0000;90,4452;31836,71;0,00;;NAO;NAO;Aberto
98;PC000098;2026-08-12;2026-09-29;;9;1;1;502,0000;0,0000;0,0000;98,1631;49277,88;0,00;;NAO;NAO;Aberto
99;PC000099;2024-09-27;2024-10-20;2024-10-06;10;11;1;225,0000;225,0000;0,0000;160,5262;36118,39;36118,39;9;SIM;SIM;Recebido
100;PC000100;2024-12-30;2025-01-22;2025-01-14;10;11;1;248,0000;248,0000;0,0000;160,4165;39783,29;39783,29;15;SIM;SIM;Recebido
101;PC000101;2025-01-02;2025-01-25;2025-01-23;10;11;1;130,0000;130,0000;0,0000;157,4645;20470,38;20470,38;21;SIM;SIM;Recebido
102;PC000102;2025-03-17;2025-04-09;2025-04-06;10;11;1;236,0000;236,0000;0,0000;161,0174;38000,11;38000,11;20;SIM;SIM;Recebido
103;PC000103;2025-05-16;2025-06-08;2025-06-02;10;11;1;155,0000;155,0000;0,0000;162,5833;25200,41;25200,41;17;SIM;SIM;Recebido
104;PC000104;2025-06-25;2025-07-18;2025-07-19;10;11;1;131,0000;131,0000;0,0000;162,7544;21320,83;21320,83;24;NAO;SIM;Recebido
105;PC000105;2025-08-01;2025-08-24;2025-08-20;10;11;1;188,0000;188,0000;0,0000;161,1379;30293,93;30293,93;19;SIM;SIM;Recebido
106;PC000106;2025-10-16;2025-11-08;2025-10-28;10;11;1;172,0000;172,0000;0,0000;168,4223;28968,64;28968,64;12;SIM;SIM;Recebido
107;PC000107;2025-12-18;2026-01-10;2026-01-13;10;11;1;164,0000;164,0000;3,0000;170,6589;27988,06;27988,06;26;NAO;SIM;Recebido
108;PC000108;2026-02-06;2026-03-01;2026-03-02;10;11;1;124,0000;124,0000;0,0000;158,2954;19628,63;19628,63;24;NAO;SIM;Recebido
109;PC000109;2026-03-16;2026-04-08;2026-04-03;10;11;1;135,0000;135,0000;0,0000;170,7361;23049,37;23049,37;18;SIM;SIM;Recebido
110;PC000110;2026-05-12;2026-06-04;2026-05-27;10;11;1;189,0000;189,0000;0,0000;163,9667;30989,71;30989,71;15;SIM;SIM;Recebido
111;PC000111;2026-07-03;2026-07-26;2026-07-13;10;11;1;186,0000;163,0000;0,0000;160,3400;29823,24;26135,42;10;SIM;NAO;Recebido
112;PC000112;2026-08-12;2026-09-04;2026-08-20;10;11;1;151,0000;151,0000;0,0000;168,0592;25376,94;25376,94;8;SIM;SIM;Recebido
113;PC000113;2024-10-31;2024-11-18;2024-11-15;11;31;1;347,0000;347,0000;0,0000;28,4806;9882,77;9882,77;15;SIM;SIM;Recebido
114;PC000114;2024-12-11;2024-12-29;2024-12-23;11;31;1;352,0000;352,0000;11,0000;27,8676;9809,40;9809,40;12;SIM;SIM;Recebido
115;PC000115;2025-02-17;2025-03-07;2025-02-28;11;31;1;224,0000;224,0000;0,0000;28,9144;6476,83;6476,83;11;SIM;SIM;Recebido
116;PC000116;2025-04-11;2025-04-29;2025-04-24;11;31;1;363,0000;363,0000;0,0000;27,4277;9956,26;9956,26;13;SIM;SIM;Recebido
117;PC000117;2025-05-15;2025-06-02;2025-05-29;11;31;1;202,0000;202,0000;0,0000;28,1242;5681,09;5681,09;14;SIM;SIM;Recebido
118;PC000118;2025-07-11;2025-07-29;2025-07-26;11;31;1;210,0000;210,0000;0,0000;27,2009;5712,19;5712,19;15;SIM;SIM;Recebido
119;PC000119;2025-09-22;2025-10-10;2025-10-08;11;31;1;357,0000;357,0000;0,0000;27,0030;9640,07;9640,07;16;SIM;SIM;Recebido
120;PC000120;2025-11-20;2025-12-08;2025-12-05;11;31;1;228,0000;228,0000;0,0000;29,3100;6682,68;6682,68;15;SIM;SIM;Recebido
121;PC000121;2025-12-10;2025-12-28;2025-12-23;11;31;1;240,0000;240,0000;0,0000;29,4784;7074,82;7074,82;13;SIM;SIM;Recebido
122;PC000122;2026-01-20;2026-02-07;2026-01-28;11;31;1;184,0000;184,0000;0,0000;28,7211;5284,68;5284,68;8;SIM;SIM;Recebido
123;PC000123;2026-03-25;2026-04-12;2026-03-31;11;31;1;363,0000;363,0000;0,0000;29,6374;10758,38;10758,38;6;SIM;SIM;Recebido
124;PC000124;2026-05-15;2026-06-02;2026-05-23;11;31;1;289,0000;289,0000;0,0000;28,4330;8217,14;8217,14;8;SIM;SIM;Recebido
125;PC000125;2026-06-19;2026-07-07;2026-07-05;11;31;1;204,0000;204,0000;0,0000;28,3982;5793,23;5793,23;16;SIM;SIM;Recebido
126;PC000126;2026-08-25;2026-09-12;;11;31;1;184,0000;0,0000;0,0000;29,1570;5364,89;0,00;;NAO;NAO;Aberto
127;PC000127;2024-11-04;2024-11-22;2024-11-15;11;31;3;363,0000;363,0000;0,0000;28,3294;10283,57;10283,57;11;SIM;SIM;Recebido
128;PC000128;2025-01-15;2025-02-02;2025-01-26;11;31;3;360,0000;360,0000;0,0000;29,0594;10461,38;10461,38;11;SIM;SIM;Recebido
129;PC000129;2025-03-04;2025-03-22;2025-03-19;11;31;3;320,0000;320,0000;0,0000;28,7351;9195,23;9195,23;15;SIM;SIM;Recebido
130;PC000130;2025-04-11;2025-04-29;2025-04-19;11;31;3;228,0000;228,0000;0,0000;28,1038;6407,67;6407,67;8;SIM;SIM;Recebido
131;PC000131;2025-06-18;2025-07-06;2025-07-05;11;31;3;363,0000;363,0000;0,0000;29,5035;10709,77;10709,77;17;SIM;SIM;Recebido
132;PC000132;2025-07-09;2025-07-27;2025-07-17;11;31;3;176,0000;176,0000;0,0000;29,5643;5203,32;5203,32;8;SIM;SIM;Recebido
133;PC000133;2025-09-26;2025-10-14;2025-10-02;11;31;3;202,0000;202,0000;0,0000;28,6140;5780,03;5780,03;6;SIM;SIM;Recebido
134;PC000134;2025-10-29;2025-11-16;2025-11-10;11;31;3;244,0000;244,0000;0,0000;28,1324;6864,31;6864,31;12;SIM;SIM;Recebido
135;PC000135;2025-11-28;2025-12-16;2025-12-13;11;31;3;190,0000;190,0000;0,0000;29,5564;5615,72;5615,72;15;SIM;SIM;Recebido
136;PC000136;2025-12-26;2026-01-13;2026-01-06;11;31;3;225,0000;225,0000;0,0000;28,2253;6350,69;6350,69;11;SIM;SIM;Recebido
137;PC000137;2026-02-06;2026-02-24;2026-02-20;11;31;3;345,0000;303,0000;0,0000;28,4037;9799,28;8606,32;14;SIM;NAO;Recebido
138;PC000138;2026-04-28;2026-05-16;2026-05-07;11;31;3;233,0000;233,0000;0,0000;30,1679;7029,12;7029,12;9;SIM;SIM;Recebido
139;PC000139;2026-06-04;2026-06-22;2026-06-23;11;31;3;292,0000;292,0000;0,0000;28,4466;8306,41;8306,41;19;NAO;SIM;Recebido
140;PC000140;2026-07-28;2026-08-15;2026-08-10;11;31;3;198,0000;198,0000;0,0000;29,8558;5911,45;5911,45;13;SIM;SIM;Recebido
141;PC000141;2026-08-04;2026-08-22;2026-08-09;11;31;3;280,0000;280,0000;0,0000;29,4313;8240,76;8240,76;5;SIM;SIM;Recebido
142;PC000142;2024-09-12;2024-10-30;2024-09-29;12;1;3;646,0000;646,0000;0,0000;448,4100;289672,86;289672,86;17;SIM;SIM;Recebido
143;PC000143;2024-11-04;2024-12-22;2024-12-18;12;1;3;436,0000;436,0000;0,0000;448,7454;195652,99;195652,99;44;SIM;SIM;Recebido
144;PC000144;2025-01-13;2025-03-02;2025-02-18;12;1;3;453,0000;453,0000;0,0000;476,1010;215673,75;215673,75;36;SIM;SIM;Recebido
145;PC000145;2025-04-23;2025-06-10;2025-05-26;12;1;3;391,0000;391,0000;0,0000;449,0205;175567,02;175567,02;33;SIM;SIM;Recebido
146;PC000146;2025-07-15;2025-09-01;2025-08-26;12;1;3;360,0000;360,0000;0,0000;465,9185;167730,66;167730,66;42;SIM;SIM;Recebido
147;PC000147;2025-09-08;2025-10-26;2025-10-06;12;1;3;477,0000;353,0000;0,0000;470,1088;224241,90;165948,41;28;SIM;NAO;Recebido
148;PC000148;2025-10-23;2025-12-10;2025-12-05;12;1;3;403,0000;403,0000;0,0000;465,5081;187599,76;187599,76;43;SIM;SIM;Recebido
149;PC000149;2025-11-27;2026-01-14;2026-01-04;12;1;3;646,0000;646,0000;0,0000;464,6297;300150,79;300150,79;38;SIM;SIM;Recebido
150;PC000150;2024-09-05;2024-10-23;2024-09-26;12;1;2;519,0000;519,0000;0,0000;466,8400;242289,96;242289,96;21;SIM;SIM;Recebido
151;PC000151;2024-12-11;2025-01-28;2025-01-01;12;1;2;507,0000;507,0000;0,0000;453,2366;229790,96;229790,96;21;SIM;SIM;Recebido
152;PC000152;2025-02-21;2025-04-10;2025-04-21;12;1;2;408,0000;408,0000;0,0000;468,3615;191091,49;191091,49;59;NAO;SIM;Recebido
153;PC000153;2025-03-27;2025-05-14;2025-05-15;12;1;2;646,0000;646,0000;0,0000;466,5156;301369,08;301369,08;49;NAO;SIM;Recebido
154;PC000154;2025-04-09;2025-05-27;2025-05-01;12;1;2;646,0000;646,0000;0,0000;466,3940;301290,52;301290,52;22;SIM;SIM;Recebido
155;PC000155;2025-09-17;2025-11-04;2025-10-25;12;1;2;414,0000;414,0000;0,0000;456,8029;189116,40;189116,40;38;SIM;SIM;Recebido
156;PC000156;2025-12-31;2026-02-17;2026-02-09;12;1;2;524,0000;524,0000;0,0000;473,2824;247999,98;247999,98;40;SIM;SIM;Recebido
157;PC000157;2026-01-20;2026-03-09;2026-02-17;12;1;2;632,0000;632,0000;0,0000;478,5679;302454,91;302454,91;28;SIM;SIM;Recebido
158;PC000158;2026-04-09;2026-05-27;2026-05-04;12;1;2;333,0000;333,0000;0,0000;464,7367;154757,32;154757,32;25;SIM;SIM;Recebido
159;PC000159;2026-05-27;2026-07-14;2026-07-03;12;1;2;322,0000;322,0000;0,0000;459,9721;148111,02;148111,02;37;SIM;SIM;Recebido
160;PC000160;2026-06-19;2026-08-06;2026-08-11;12;1;2;352,0000;352,0000;0,0000;455,5468;160352,47;160352,47;53;NAO;SIM;Recebido
161;PC000161;2024-10-11;2024-11-28;2024-11-10;13;8;1;49,0000;49,0000;0,0000;1208,6582;59224,25;59224,25;30;SIM;SIM;Recebido
162;PC000162;2024-11-19;2025-01-06;2025-01-08;13;8;1;67,0000;67,0000;0,0000;1192,7159;79911,97;79911,97;50;NAO;SIM;Recebido
163;PC000163;2024-12-06;2025-01-23;2025-01-23;13;8;1;70,0000;70,0000;0,0000;1194,6287;83624,01;83624,01;48;SIM;SIM;Recebido
164;PC000164;2025-02-24;2025-04-13;2025-04-12;13;8;1;37,0000;37,0000;0,0000;1214,8768;44950,44;44950,44;47;SIM;SIM;Recebido
165;PC000165;2025-03-19;2025-05-06;2025-05-06;13;8;1;45,0000;45,0000;0,0000;1188,0043;53460,19;53460,19;48;SIM;SIM;Recebido
166;PC000166;2025-04-01;2025-05-19;2025-05-10;13;8;1;95,0000;95,0000;0,0000;1187,9214;112852,53;112852,53;39;SIM;SIM;Recebido
167;PC000167;2025-05-05;2025-06-22;2025-06-06;13;8;1;37,0000;37,0000;0,0000;1217,9250;45063,22;45063,22;32;SIM;SIM;Recebido
168;PC000168;2025-06-04;2025-07-22;2025-07-20;13;8;1;37,0000;37,0000;0,0000;1224,1737;45294,43;45294,43;46;SIM;SIM;Recebido
169;PC000169;2025-07-23;2025-09-09;2025-08-18;13;8;1;37,0000;37,0000;0,0000;1171,8533;43358,57;43358,57;26;SIM;SIM;Recebido
170;PC000170;2025-08-22;2025-10-09;2025-09-24;13;8;1;64,0000;64,0000;0,0000;1197,2151;76621,77;76621,77;33;SIM;SIM;Recebido
171;PC000171;2025-09-24;2025-11-11;2025-10-28;13;8;1;80,0000;80,0000;0,0000;1214,7615;97180,92;97180,92;34;SIM;SIM;Recebido
172;PC000172;2025-10-17;2025-12-04;2025-12-07;13;8;1;39,0000;39,0000;0,0000;1228,1033;47896,03;47896,03;51;NAO;SIM;Recebido
173;PC000173;2025-11-05;2025-12-23;2025-12-21;13;8;1;69,0000;69,0000;0,0000;1237,5915;85393,81;85393,81;46;SIM;SIM;Recebido
