SK_Item;CodigoItem;Descricao;Categoria;Subcategoria;UnidadeMedida;CurvaABC;Criticidade;EstoqueMinimo;EstoqueMaximo;PontoPedido;LoteMinimoCompra;LeadTimePadraoDias;CustoPadrao;Perecivel;ItemControlado;SK_FornecedorPreferencial;StatusItem;DataCadastro
56;IT01056;Descartáveis Limpeza Ref 1056;Limpeza e Higiene;Descartáveis;CX;;Alta;113;569;180;50;20;36,6900;NAO;NAO;23;Ativo;2020-09-04
57;IT01057;Conectores Material Ref 1057;Material Elétrico;Conectores;MT;;Média;73;242;118;34;20;201,2400;NAO;NAO;19;Ativo;2020-08-27
58;IT01058;Tubos Material Ref 1058;Material Hidráulico;Tubos;UN;;Baixa;108;576;207;50;30;225,2600;NAO;NAO;32;Ativo;2024-01-24
59;IT01059;Proteção Respiratória EPI Ref 1059;EPI;Proteção Respiratória;PC;;Baixa;35;170;48;19;10;109,2900;NAO;SIM;9;Ativo;2024-01-25
60;IT01060;Manuais Ferramentas Ref 1060;Ferramentas;Manuais;KG;;Baixa;33;189;131;33;45;317,9800;NAO;NAO;12;Ativo;2023-05-30
61;IT01061;Filtros Peças Ref 1061;Peças de Reposição;Filtros;PAR;;Média;180;1050;260;80;15;764,4500;NAO;NAO;22;Ativo;2021-08-17
62;IT01062;Óleos Lubrificantes Ref 1062;Lubrificantes;Óleos;PAR;;Baixa;171;717;444;91;45;72,9900;NAO;NAO;26;Inativo;2022-01-03
63;IT01063;Papelaria Material Ref 1063;Material de Escritório;Papelaria;KG;;Alta;72;354;174;51;30;39,0900;NAO;NAO;15;Ativo;2022-06-22
64;IT01064;Utensílios Limpeza Ref 1064;Limpeza e Higiene;Utensílios;KG;;Média;96;550;232;45;45;29,9800;NAO;NAO;8;Ativo;2024-04-21
65;IT01065;Cabos Material Ref 1065;Material Elétrico;Cabos;PC;;Baixa;37;161;110;36;30;112,0900;NAO;NAO;35;Ativo;2023-03-01
66;IT01066;Conexões Material Ref 1066;Material Hidráulico;Conexões;UN;;Média;72;422;171;49;30;180,8200;NAO;NAO;14;Ativo;2024-04-30
67;IT01067;Proteção Mãos EPI Ref 1067;EPI;Proteção Mãos;UN;;Média;27;133;51;12;30;125,2000;NAO;SIM;13;Ativo;2024-04-27
68;IT01068;Corte Ferramentas Ref 1068;Ferramentas;Corte;CX;;Baixa;16;64;25;18;7;144,8500;NAO;NAO;14;Ativo;2023-04-17
69;IT01069;Correias Peças Ref 1069;Peças de Reposição;Correias;KG;;Baixa;135;646;179;65;10;852,0900;NAO;NAO;10;Ativo;2022-01-11
70;IT01070;Graxas Lubrificantes Ref 1070;Lubrificantes;Graxas;CX;;Média;10;54;18;13;10;251,9600;NAO;NAO;17;Ativo;2023-02-28
71;IT01071;Informática Material Ref 1071;Material de Escritório;Informática;LT;;Média;94;313;152;58;15;44,5700;NAO;NAO;3;Ativo;2024-02-05
72;IT01072;Utensílios Limpeza Ref 1072;Limpeza e Higiene;Utensílios;MT;;Média;81;449;97;34;7;40,1300;NAO;NAO;32;Ativo;2021-06-27
73;IT01073;Cabos Material Ref 1073;Material Elétrico;Cabos;LT;;Baixa;31;152;48;25;10;278,0500;NAO;NAO;25;Ativo;2021-12-22
74;IT01074;Registros Material Ref 1074;Material Hidráulico;Registros;PAR;;Média;44;218;179;45;45;87,1000;NAO;NAO;14;Ativo;2023-12-24
75;IT01075;Proteção Mãos EPI Ref 1075;EPI;Proteção Mãos;PC;;Média;64;274;265;67;45;59,5100;NAO;SIM;10;Ativo;2021-08-29
76;IT01076;Manuais Ferramentas Ref 1076;Ferramentas;Manuais;LT;;Alta;22;120;55;11;45;144,5200;NAO;NAO;22;Ativo;2021-04-21
77;IT01077;Filtros Peças Ref 1077;Peças de Reposição;Filtros;KG;;Média;75;290;330;85;45;1454,8800;NAO;NAO;33;Ativo;2022-09-06
78;IT01078;Graxas Lubrificantes Ref 1078;Lubrificantes;Graxas;CX;;Baixa;12;46;24;12;15;90,2800;SIM;NAO;2;Ativo;2022-09-09
79;IT01079;Impressão Material Ref 1079;Material de Escritório;Impressão;CX;;Baixa;37;150;53;16;15;26,2200;NAO;NAO;26;Ativo;2023-02-26
80;IT01080;Utensílios Limpeza Ref 1080;Limpeza e Higiene;Utensílios;KG;;Média;17;68;32;11;20;81,6800;NAO;NAO;21;Ativo;2022-03-08
81;IT01081;Cabos Material Ref 1081;Material Elétrico;Cabos;PC;;Média;28;107;35;15;7;270,2900;NAO;NAO;29;Ativo;2020-03-17
82;IT01082;Tubos Material Ref 1082;Material Hidráulico;Tubos;UN;;Média;20;100;45;13;30;70,7100;NAO;NAO;4;Inativo;2020-09-09
83;IT01083;Proteção Mãos EPI Ref 1083;EPI;Proteção Mãos;CX;;Alta;49;257;77;60;7;107,7900;NAO;SIM;35;Ativo;2021-10-21
84;IT01084;Medição Ferramentas Ref 1084;Ferramentas;Medição;KG;;Média;110;356;143;72;7;130,3100;NAO;NAO;26;Ativo;2021-05-05
85;IT01085;Filtros Peças Ref 1085;Peças de Reposição;Filtros;KG;;Alta;9;46;20;6;30;228,5200;NAO;NAO;7;Ativo;2022-04-21
86;IT01086;Graxas Lubrificantes Ref 1086;Lubrificantes;Graxas;UN;;Média;34;181;64;30;15;161,7100;NAO;NAO;33;Ativo;2023-05-09
87;IT01087;Informática Material Ref 1087;Material de Escritório;Informática;CX;;Alta;105;361;164;89;10;31,7300;NAO;NAO;10;Ativo;2022-09-04
88;IT01088;Químicos Limpeza Ref 1088;Limpeza e Higiene;Químicos;LT;;Média;122;530;244;61;30;23,0500;NAO;NAO;21;Ativo;2022-07-08
89;IT01089;Lâmpadas Material Ref 1089;Material Elétrico;Lâmpadas;KG;;Média;21;100;31;10;15;84,0200;NAO;NAO;20;Ativo;2019-03-19
90;IT01090;Tubos Material Ref 1090;Material Hidráulico;Tubos;MT;;Média;41;185;52;23;7;74,1400;NAO;NAO;3;Ativo;2023-07-17
91;IT01091;Proteção Mãos EPI Ref 1091;EPI;Proteção Mãos;PAR;;Média;54;293;70;35;7;49,6100;NAO;SIM;6;Ativo;2019-12-20
92;IT01092;Manuais Ferramentas Ref 1092;Ferramentas;Manuais;KG;;Média;58;237;123;33;30;266,7600;NAO;NAO;22;Ativo;2019-04-18
93;IT01093;Filtros Peças Ref 1093;Peças de Reposição;Filtros;LT;;Baixa;14;78;26;12;15;174,3900;NAO;NAO;22;Ativo;2022-09-21
94;IT01094;Óleos Lubrificantes Ref 1094;Lubrificantes;Óleos;UN;;Média;35;167;108;24;45;311,9900;NAO;NAO;22;Ativo;2022-10-04
95;IT01095;Impressão Material Ref 1095;Material de Escritório;Impressão;LT;;Média;54;271;168;57;30;74,6800;NAO;NAO;24;Ativo;2024-05-01
96;IT01096;Químicos Limpeza Ref 1096;Limpeza e Higiene;Químicos;PAR;;Alta;63;245;103;60;10;30,6500;NAO;NAO;35;Ativo;2023-12-15
97;IT01097;Cabos Material Ref 1097;Material Elétrico;Cabos;PAR;;Média;103;359;250;74;30;193,2300;NAO;NAO;11;Ativo;2019-03-31
98;IT01098;Vedação Material Ref 1098;Material Hidráulico;Vedação;MT;;Média;69;362;180;55;30;73,4900;NAO;NAO;16;Ativo;2023-07-15
99;IT01099;Calçados EPI Ref 1099;EPI;Calçados;KG;;Baixa;41;180;75;17;30;137,1800;NAO;SIM;33;Ativo;2024-06-01
100;IT01100;Elétricas Ferramentas Ref 1100;Ferramentas;Elétricas;KG;;Média;56;249;120;64;15;891,5600;NAO;NAO;7;Ativo;2021-11-22
101;IT01101;Rolamentos Peças Ref 1101;Peças de Reposição;Rolamentos;CX;;Baixa;62;267;181;60;30;427,8700;NAO;NAO;23;Ativo;2021-04-29
102;IT01102;Óleos Lubrificantes Ref 1102;Lubrificantes;Óleos;UN;;Baixa;40;123;53;28;7;129,1700;SIM;NAO;10;Ativo;2020-08-10
103;IT01103;Informática Material Ref 1103;Material de Escritório;Informática;UN;;Média;25;143;44;14;20;59,5900;NAO;NAO;10;Ativo;2023-01-29
104;IT01104;Utensílios Limpeza Ref 1104;Limpeza e Higiene;Utensílios;PC;;Baixa;13;48;26;13;15;40,4900;NAO;NAO;30;Ativo;2023-09-10
105;IT01105;Conectores Material Ref 1105;Material Elétrico;Conectores;UN;;Média;10;39;13;5;10;176,0200;NAO;NAO;16;Ativo;2020-01-19
106;IT01106;Tubos Material Ref 1106;Material Hidráulico;Tubos;LT;;Alta;44;262;99;27;30;98,5200;NAO;NAO;31;Inativo;2021-03-03
107;IT01107;Proteção Respiratória EPI Ref 1107;EPI;Proteção Respiratória;UN;;Baixa;6;30;11;5;15;42,7500;NAO;SIM;22;Ativo;2020-12-22
108;IT01108;Medição Ferramentas Ref 1108;Ferramentas;Medição;CX;;Baixa;38;169;60;16;20;885,9600;NAO;NAO;5;Ativo;2024-04-16
109;IT01109;Vedantes Peças Ref 1109;Peças de Reposição;Vedantes;MT;;Baixa;23;90;31;18;7;143,2600;NAO;NAO;35;Ativo;2019-03-16
110;IT01110;Fluidos Lubrificantes Ref 1110;Lubrificantes;Fluidos;KG;;Média;36;121;117;27;45;83,3100;NAO;NAO;29;Ativo;2021-03-02
111;IT01111;Informática Material Ref 1111;Material de Escritório;Informática;MT;;Alta;45;146;118;37;30;102,2400;NAO;NAO;12;Ativo;2020-10-19
112;IT01112;Químicos Limpeza Ref 1112;Limpeza e Higiene;Químicos;MT;;Média;97;339;197;50;30;18,9200;NAO;NAO;3;Ativo;2024-02-10
113;IT01113;Lâmpadas Material Ref 1113;Material Elétrico;Lâmpadas;KG;;Média;30;147;45;32;7;180,6500;NAO;NAO;11;Ativo;2019-10-20
114;IT01114;Vedação Material Ref 1114;Material Hidráulico;Vedação;UN;;Média;14;82;24;10;15;30,0100;NAO;NAO;29;Ativo;2021-01-31
115;IT01115;Calçados EPI Ref 1115;EPI;Calçados;UN;;Alta;55;211;112;43;20;107,0400;NAO;SIM;12;Ativo;2021-03-03
116;IT01116;Manuais Ferramentas Ref 1116;Ferramentas;Manuais;MT;;Média;27;155;69;21;30;278,3200;NAO;NAO;9;Ativo;2021-07-14
117;IT01117;Correias Peças Ref 1117;Peças de Reposição;Correias;PC;;Média;78;465;177;33;45;1532,8700;NAO;NAO;5;Ativo;2020-08-17
118;IT01118;Graxas Lubrificantes Ref 1118;Lubrificantes;Graxas;CX;;Alta;59;241;223;55;45;275,6700;NAO;NAO;9;Ativo;2021-10-08
119;IT01119;Papelaria Material Ref 1119;Material de Escritório;Papelaria;UN;;Média;43;243;128;42;30;32,4000;NAO;NAO;31;Ativo;2023-04-25
120;IT01120;Descartáveis Limpeza Ref 1120;Limpeza e Higiene;Descartáveis;LT;;Média;10;44;41;10;45;61,6600;NAO;NAO;12;Ativo;2019-09-22
121;IT01121;Conectores Material Ref 1121;Material Elétrico;Conectores;KG;;Baixa;76;266;221;72;30;153,5200;NAO;NAO;15;Ativo;2024-04-10
122;IT01122;Registros Material Ref 1122;Material Hidráulico;Registros;LT;;Média;25;122;66;21;30;168,1800;NAO;NAO;33;Ativo;2022-04-27
123;IT01123;Proteção Mãos EPI Ref 1123;EPI;Proteção Mãos;PAR;;Baixa;100;469;147;47;15;34,8300;NAO;SIM;6;Inativo;2022-08-06
124;IT01124;Medição Ferramentas Ref 1124;Ferramentas;Medição;LT;;Média;51;289;231;60;45;660,1600;NAO;NAO;20;Ativo;2023-07-07
125;IT01125;Vedantes Peças Ref 1125;Peças de Reposição;Vedantes;KG;;Média;15;66;29;10;20;443,2600;NAO;NAO;21;Ativo;2020-10-15
126;IT01126;Fluidos Lubrificantes Ref 1126;Lubrificantes;Fluidos;CX;;Média;43;143;69;26;15;379,0300;NAO;NAO;16;Ativo;2019-04-14
127;IT01127;Informática Material Ref 1127;Material de Escritório;Informática;PC;;Média;151;876;199;72;10;94,3900;NAO;NAO;11;Ativo;2021-11-20
128;IT01128;Descartáveis Limpeza Ref 1128;Limpeza e Higiene;Descartáveis;CX;;Média;39;230;71;24;20;38,8400;NAO;NAO;4;Ativo;2021-10-10
129;IT01129;Conectores Material Ref 1129;Material Elétrico;Conectores;PAR;;Média;8;41;11;4;10;108,5300;NAO;NAO;3;Ativo;2022-03-13
130;IT01130;Conexões Material Ref 1130;Material Hidráulico;Conexões;LT;;Média;46;177;76;23;20;73,2300;NAO;NAO;8;Ativo;2019-07-18
131;IT01131;Calçados EPI Ref 1131;EPI;Calçados;LT;;Média;197;709;295;98;15;55,0600;NAO;SIM;3;Inativo;2019-10-08
132;IT01132;Medição Ferramentas Ref 1132;Ferramentas;Medição;KG;;Alta;39;226;116;38;30;870,4500;NAO;NAO;20;Ativo;2021-11-04
133;IT01133;Vedantes Peças Ref 1133;Peças de Reposição;Vedantes;MT;;Média;31;103;55;24;15;1068,8900;NAO;NAO;2;Ativo;2020-06-27
134;IT01134;Fluidos Lubrificantes Ref 1134;Lubrificantes;Fluidos;LT;;Média;54;240;237;61;45;245,5800;SIM;NAO;25;Ativo;2022-10-26
135;IT01135;Papelaria Material Ref 1135;Material de Escritório;Papelaria;MT;;Média;130;553;170;86;7;12,1200;NAO;NAO;27;Ativo;2022-06-06
136;IT01136;Descartáveis Limpeza Ref 1136;Limpeza e Higiene;Descartáveis;PC;;Média;93;435;131;57;10;66,7100;NAO;NAO;25;Ativo;2019-12-21
137;IT01137;Conectores Material Ref 1137;Material Elétrico;Conectores;KG;;Média;50;271;129;26;45;284,7800;NAO;NAO;13;Ativo;2020-07-25
138;IT01138;Registros Material Ref 1138;Material Hidráulico;Registros;MT;;Média;179;908;272;93;15;54,0500;NAO;NAO;23;Ativo;2024-03-28
139;IT01139;Proteção Respiratória EPI Ref 1139;EPI;Proteção Respiratória;PAR;;Alta;90;528;147;43;20;46,1600;NAO;SIM;3;Ativo;2023-01-02
140;IT01140;Manuais Ferramentas Ref 1140;Ferramentas;Manuais;KG;;Baixa;38;208;82;33;20;350,4400;NAO;NAO;18;Ativo;2022-06-14
141;IT01141;Correias Peças Ref 1141;Peças de Reposição;Correias;KG;;Baixa;59;195;211;51;45;375,8300;NAO;NAO;7;Ativo;2019-10-09
142;IT01142;Óleos Lubrificantes Ref 1142;Lubrificantes;Óleos;MT;;Média;217;1223;501;95;45;349,4900;SIM;NAO;19;Ativo;2022-08-15
143;IT01143;Papelaria Material Ref 1143;Material de Escritório;Papelaria;UN;;Baixa;22;122;45;11;30;86,7500;NAO;NAO;12;Ativo;2023-09-12
144;IT01144;Químicos Limpeza Ref 1144;Limpeza e Higiene;Químicos;PAR;;Baixa;8;42;18;7;20;74,6100;NAO;NAO;3;Inativo;2022-03-09
145;IT01145;Cabos Material Ref 1145;Material Elétrico;Cabos;CX;;Baixa;43;193;120;26;45;294,0800;NAO;NAO;30;Ativo;2023-07-15
146;IT01146;Tubos Material Ref 1146;Material Hidráulico;Tubos;PAR;;Média;62;323;231;56;45;68,6200;NAO;NAO;13;Ativo;2023-10-20
147;IT01147;Calçados EPI Ref 1147;EPI;Calçados;MT;;Média;36;214;150;38;45;119,1100;NAO;SIM;16;Inativo;2021-02-24
148;IT01148;Elétricas Ferramentas Ref 1148;Ferramentas;Elétricas;PC;;Média;42;127;85;22;30;442,3800;NAO;NAO;16;Ativo;2019-08-31
149;IT01149;Vedantes Peças Ref 1149;Peças de Reposição;Vedantes;PC;;Baixa;62;314;153;30;45;455,0200;NAO;NAO;19;Ativo;2020-03-28
150;IT01150;Óleos Lubrificantes Ref 1150;Lubrificantes;Óleos;MT;;Baixa;49;250;120;35;30;342,7000;SIM;NAO;14;Ativo;2022-10-25
151;IT01151;Impressão Material Ref 1151;Material de Escritório;Impressão;UN;;Alta;15;86;48;11;45;80,9700;NAO;NAO;33;Ativo;2022-01-04
152;IT01152;Químicos Limpeza Ref 1152;Limpeza e Higiene;Químicos;UN;;Baixa;80;380;292;71;45;22,5000;NAO;NAO;29;Ativo;2021-07-17
153;IT01153;Disjuntores Material Ref 1153;Material Elétrico;Disjuntores;UN;;Média;64;251;109;34;20;155,8900;NAO;NAO;1;Ativo;2022-03-30
154;IT01154;Tubos Material Ref 1154;Material Hidráulico;Tubos;MT;;Alta;60;192;72;26;7;31,4200;NAO;NAO;27;Ativo;2019-10-05
155;IT01155;Calçados EPI Ref 1155;EPI;Calçados;PC;;Baixa;106;535;207;76;20;55,2000;NAO;SIM;9;Ativo;2020-12-13
156;IT01156;Manuais Ferramentas Ref 1156;Ferramentas;Manuais;PAR;;Alta;94;517;213;40;45;211,2300;NAO;NAO;20;Ativo;2023-01-12
157;IT01157;Vedantes Peças Ref 1157;Peças de Reposição;Vedantes;PC;;Baixa;70;250;137;67;15;766,1100;NAO;NAO;3;Ativo;2021-05-08
158;IT01158;Fluidos Lubrificantes Ref 1158;Lubrificantes;Fluidos;MT;;Média;68;325;118;75;10;238,9300;SIM;NAO;4;Ativo;2019-04-01
159;IT01159;Informática Material Ref 1159;Material de Escritório;Informática;CX;;Baixa;41;245;60;40;7;37,9300;NAO;NAO;21;Ativo;2023-05-02
160;IT01160;Utensílios Limpeza Ref 1160;Limpeza e Higiene;Utensílios;KG;;Alta;32;136;91;20;45;61,2000;NAO;NAO;12;Ativo;2021-05-24
161;IT01161;Conectores Material Ref 1161;Material Elétrico;Conectores;MT;;Média;54;214;89;26;20;65,5900;NAO;NAO;20;Ativo;2023-03-26
162;IT01162;Vedação Material Ref 1162;Material Hidráulico;Vedação;LT;;Média;40;230;53;19;10;56,2000;NAO;NAO;27;Ativo;2019-10-02
163;IT01163;Calçados EPI Ref 1163;EPI;Calçados;PC;;Baixa;38;125;62;18;20;41,6900;NAO;SIM;4;Ativo;2022-10-11
164;IT01164;Manuais Ferramentas Ref 1164;Ferramentas;Manuais;CX;;Baixa;32;117;83;17;45;994,5200;NAO;NAO;22;Ativo;2024-02-05
165;IT01165;Rolamentos Peças Ref 1165;Peças de Reposição;Rolamentos;CX;;Média;41;182;92;17;45;339,2900;NAO;NAO;14;Ativo;2020-05-05
166;IT01166;Fluidos Lubrificantes Ref 1166;Lubrificantes;Fluidos;LT;;Baixa;31;117;99;23;45;111,6700;NAO;NAO;31;Ativo;2020-10-17
167;IT01167;Papelaria Material Ref 1167;Material de Escritório;Papelaria;LT;;Baixa;61;186;82;31;10;33,0800;NAO;NAO;27;Ativo;2020-02-06
168;IT01168;Descartáveis Limpeza Ref 1168;Limpeza e Higiene;Descartáveis;KG;;Baixa;78;394;162;42;30;25,4000;NAO;NAO;32;Ativo;2022-08-07
169;IT01169;Conectores Material Ref 1169;Material Elétrico;Conectores;LT;;Baixa;110;491;148;57;10;144,1400;NAO;NAO;4;Ativo;2023-09-15
