SK_Movimentacao;Data;SK_Item;SK_Deposito;SK_TipoMovimento;SK_CentroCusto;SK_Fornecedor;NumeroDocumento;Quantidade;CustoUnitario;ValorTotal;QuantidadeSinalizada;ValorSinalizado
73;2025-01-27;1;3;6;2;;RQ000059;2,0000;136,4499;272,90;-2,0000;-272,90
74;2025-02-14;1;3;6;9;;RQ000060;4,0000;136,4499;545,80;-4,0000;-545,80
75;2025-02-20;1;3;8;5;;RQ000061;4,0000;136,4499;545,80;-4,0000;-545,80
76;2025-02-11;1;3;7;1;;RQ000062;4,0000;136,4499;545,80;-4,0000;-545,80
77;2025-02-18;1;3;8;10;;RQ000063;4,0000;136,4499;545,80;-4,0000;-545,80
78;2025-03-18;1;3;8;6;;RQ000064;6,0000;136,4499;818,70;-6,0000;-818,70
79;2025-03-05;1;3;8;12;;RQ000065;6,0000;136,4499;818,70;-6,0000;-818,70
80;2025-03-07;1;3;6;2;;RQ000066;6,0000;136,4499;818,70;-6,0000;-818,70
81;2025-04-04;1;3;7;8;;RQ000067;6,0000;136,4499;818,70;-6,0000;-818,70
82;2025-04-16;1;3;6;9;;RQ000068;6,0000;136,4499;818,70;-6,0000;-818,70
83;2025-04-16;1;3;8;3;;RQ000069;6,0000;136,4499;818,70;-6,0000;-818,70
84;2025-04-04;1;3;7;11;;RQ000070;6,0000;136,4499;818,70;-6,0000;-818,70
85;2025-04-29;1;3;7;7;;RQ000071;4,0000;136,4499;545,80;-4,0000;-545,80
86;2025-04-18;1;3;1;;23;NF413433;65,0000;135,9588;8837,32;65,0000;8837,32
87;2025-05-23;1;3;8;9;;RQ000072;8,0000;135,9588;1087,67;-8,0000;-1087,67
88;2025-05-23;1;3;7;11;;RQ000073;8,0000;135,9588;1087,67;-8,0000;-1087,67
89;2025-05-23;1;3;8;6;;RQ000074;8,0000;135,9588;1087,67;-8,0000;-1087,67
90;2025-06-10;1;3;7;1;;RQ000075;2,0000;135,9588;271,92;-2,0000;-271,92
91;2025-06-02;1;3;8;1;;RQ000076;2,0000;135,9588;271,92;-2,0000;-271,92
92;2025-06-10;1;3;8;5;;RQ000077;2,0000;135,9588;271,92;-2,0000;-271,92
93;2025-06-25;1;3;8;1;;RQ000078;2,0000;135,9588;271,92;-2,0000;-271,92
94;2025-06-24;1;3;8;4;;RQ000079;2,0000;135,9588;271,92;-2,0000;-271,92
95;2025-07-31;1;3;8;6;;RQ000080;6,0000;135,9588;815,75;-6,0000;-815,75
96;2025-07-07;1;3;8;8;;RQ000081;6,0000;135,9588;815,75;-6,0000;-815,75
97;2025-07-25;1;3;8;9;;RQ000082;6,0000;135,9588;815,75;-6,0000;-815,75
98;2025-07-10;1;3;7;3;;RQ000083;6,0000;135,9588;815,75;-6,0000;-815,75
99;2025-07-10;1;3;1;;23;NF446620;58,0000;136,5052;7917,30;58,0000;7917,30
100;2025-09-22;1;3;7;8;;RQ000084;4,0000;136,5052;546,02;-4,0000;-546,02
101;2025-09-26;1;3;8;6;;RQ000085;4,0000;136,5052;546,02;-4,0000;-546,02
102;2025-09-03;1;3;8;3;;RQ000086;4,0000;136,5052;546,02;-4,0000;-546,02
103;2025-09-12;1;3;6;4;;RQ000087;4,0000;136,5052;546,02;-4,0000;-546,02
104;2025-09-25;1;3;8;9;;RQ000088;4,0000;136,5052;546,02;-4,0000;-546,02
105;2025-10-22;1;3;7;7;;RQ000089;19,0000;136,5052;2593,60;-19,0000;-2593,60
106;2025-11-26;1;3;8;8;;RQ000090;2,0000;136,5052;273,01;-2,0000;-273,01
107;2025-11-11;1;3;8;2;;RQ000091;2,0000;136,5052;273,01;-2,0000;-273,01
108;2025-11-18;1;3;6;11;;RQ000092;2,0000;136,5052;273,01;-2,0000;-273,01
109;2025-11-27;1;3;6;4;;RQ000093;2,0000;136,5052;273,01;-2,0000;-273,01
110;2025-11-21;1;3;6;12;;RQ000094;2,0000;136,5052;273,01;-2,0000;-273,01
111;2025-11-12;1;3;1;;23;NF554059;49,0000;136,2455;6676,03;49,0000;6676,03
112;2025-12-01;1;3;7;11;;RQ000095;7,0000;136,2455;953,72;-7,0000;-953,72
113;2025-12-03;1;3;8;10;;RQ000096;7,0000;136,2455;953,72;-7,0000;-953,72
114;2025-12-04;1;3;7;11;;RQ000097;7,0000;136,2455;953,72;-7,0000;-953,72
115;2026-01-21;1;3;6;5;;RQ000098;3,0000;136,2455;408,74;-3,0000;-408,74
116;2026-01-01;1;3;8;9;;RQ000099;3,0000;136,2455;408,74;-3,0000;-408,74
117;2026-01-20;1;3;7;9;;RQ000100;3,0000;136,2455;408,74;-3,0000;-408,74
118;2026-01-29;1;3;8;6;;RQ000101;3,0000;136,2455;408,74;-3,0000;-408,74
119;2026-01-05;1;3;6;3;;RQ000102;3,0000;136,2455;408,74;-3,0000;-408,74
120;2026-03-04;1;3;7;10;;RQ000103;5,0000;136,2455;681,23;-5,0000;-681,23
121;2026-03-11;1;3;8;11;;RQ000104;5,0000;136,2455;681,23;-5,0000;-681,23
122;2026-04-03;1;3;1;;23;NF557309;46,0000;135,4399;6230,24;46,0000;6230,24
123;2026-04-29;1;3;7;8;;RQ000105;6,0000;135,4399;812,64;-6,0000;-812,64
124;2026-04-06;1;3;8;10;;RQ000106;6,0000;135,4399;812,64;-6,0000;-812,64
125;2026-04-29;1;3;8;4;;RQ000107;6,0000;135,4399;812,64;-6,0000;-812,64
126;2026-05-19;1;3;7;10;;RQ000108;5,0000;135,4399;677,20;-5,0000;-677,20
127;2026-05-18;1;3;8;8;;RQ000109;5,0000;135,4399;677,20;-5,0000;-677,20
128;2026-05-08;1;3;8;12;;RQ000110;5,0000;135,4399;677,20;-5,0000;-677,20
129;2026-05-13;1;3;7;9;;RQ000111;5,0000;135,4399;677,20;-5,0000;-677,20
130;2026-05-22;1;3;6;9;;RQ000112;5,0000;135,4399;677,20;-5,0000;-677,20
131;2026-06-04;1;3;3;;;TR000131;5,0000;134,7258;673,63;5,0000;673,63
132;2026-05-29;1;3;1;;23;NF345386;43,0000;134,7258;5793,21;43,0000;5793,21
133;2026-06-22;1;3;6;9;;RQ000113;14,0000;134,7258;1886,16;-14,0000;-1886,16
134;2026-07-27;1;3;8;5;;RQ000114;9,0000;134,7258;1212,53;-9,0000;-1212,53
135;2026-07-21;1;3;7;6;;RQ000115;9,0000;134,7258;1212,53;-9,0000;-1212,53
136;2026-07-17;1;3;7;7;;RQ000116;9,0000;134,7258;1212,53;-9,0000;-1212,53
137;2026-08-17;1;3;6;8;;RQ000117;2,0000;134,7258;269,45;-2,0000;-269,45
138;2026-08-07;1;3;6;3;;RQ000118;2,0000;134,7258;269,45;-2,0000;-269,45
139;2026-08-14;1;3;7;12;;RQ000119;2,0000;134,7258;269,45;-2,0000;-269,45
140;2026-08-06;1;3;8;7;;RQ000120;2,0000;134,7258;269,45;-2,0000;-269,45
141;2026-08-06;1;3;6;11;;RQ000121;2,0000;134,7258;269,45;-2,0000;-269,45
142;2024-09-06;2;1;6;7;;RQ000122;21,0000;222,1600;4665,36;-21,0000;-4665,36
143;2024-09-20;2;1;8;9;;RQ000123;21,0000;222,1600;4665,36;-21,0000;-4665,36
144;2024-09-30;2;1;7;10;;RQ000124;21,0000;222,1600;4665,36;-21,0000;-4665,36
145;2024-09-05;2;1;6;1;;RQ000125;21,0000;222,1600;4665,36;-21,0000;-4665,36
146;2024-10-17;2;1;6;2;;RQ000126;51,0000;222,1600;11330,16;-51,0000;-11330,16
147;2024-10-18;2;1;6;11;;RQ000127;51,0000;222,1600;11330,16;-51,0000;-11330,16
148;2024-10-28;2;1;6;12;;RQ000128;51,0000;222,1600;11330,16;-51,0000;-11330,16
149;2024-10-25;2;1;7;6;;RQ000129;30,0000;222,1600;6664,80;-30,0000;-6664,80
150;2024-10-10;2;1;1;;27;NF706063;753,0000;222,4612;167513,28;753,0000;167513,28
151;2024-12-05;2;1;7;11;;RQ000131;81,0000;222,4612;18019,36;-81,0000;-18019,36
152;2025-01-16;2;1;6;6;;RQ000132;24,0000;222,4612;5339,07;-24,0000;-5339,07
153;2025-01-23;2;1;7;12;;RQ000133;24,0000;222,4612;5339,07;-24,0000;-5339,07
154;2025-01-23;2;1;6;2;;RQ000134;24,0000;222,4612;5339,07;-24,0000;-5339,07
155;2025-01-20;2;1;8;11;;RQ000135;24,0000;222,4612;5339,07;-24,0000;-5339,07
156;2025-01-03;2;1;6;8;;RQ000136;24,0000;222,4612;5339,07;-24,0000;-5339,07
157;2025-03-21;2;1;7;8;;RQ000137;92,0000;222,4612;20466,43;-92,0000;-20466,43
158;2025-03-26;2;1;8;9;;RQ000138;92,0000;222,4612;20466,43;-92,0000;-20466,43
159;2025-04-09;2;1;7;6;;RQ000139;126,0000;222,4612;28030,11;-126,0000;-28030,11
160;2025-05-12;2;1;7;4;;RQ000140;97,0000;222,4612;21578,74;-97,0000;-21578,74
161;2025-05-19;2;1;6;5;;RQ000141;97,0000;222,4612;21578,74;-97,0000;-21578,74
162;2025-05-26;2;1;8;5;;RQ000142;48,0000;222,4612;10678,14;-48,0000;-10678,14
163;2025-05-19;2;1;1;;27;NF583100;753,0000;224,2096;168829,83;753,0000;168829,83
164;2025-06-04;2;1;7;2;;RQ000143;89,0000;224,2096;19954,65;-89,0000;-19954,65
165;2025-06-23;2;1;6;6;;RQ000144;89,0000;224,2096;19954,65;-89,0000;-19954,65
166;2025-06-23;2;1;7;4;;RQ000145;89,0000;224,2096;19954,65;-89,0000;-19954,65
167;2025-06-03;2;1;8;3;;RQ000146;89,0000;224,2096;19954,65;-89,0000;-19954,65
168;2025-08-27;2;1;8;6;;RQ000147;66,0000;224,2096;14797,83;-66,0000;-14797,83
169;2025-08-22;2;1;8;8;;RQ000148;66,0000;224,2096;14797,83;-66,0000;-14797,83
170;2025-09-09;2;1;7;3;;RQ000149;39,0000;224,2096;8744,17;-39,0000;-8744,17
171;2025-09-08;2;1;8;3;;RQ000150;39,0000;224,2096;8744,17;-39,0000;-8744,17
172;2025-09-02;2;1;8;6;;RQ000151;39,0000;224,2096;8744,17;-39,0000;-8744,17
173;2025-09-15;2;1;6;12;;RQ000152;39,0000;224,2096;8744,17;-39,0000;-8744,17
174;2025-09-01;2;1;8;4;;RQ000153;39,0000;224,2096;8744,17;-39,0000;-8744,17
175;2025-09-18;2;1;1;;27;NF888734;683,0000;224,2490;153162,07;683,0000;153162,07
176;2025-10-28;2;1;7;5;;RQ000154;67,0000;224,2490;15024,68;-67,0000;-15024,68
177;2025-10-22;2;1;6;2;;RQ000155;67,0000;224,2490;15024,68;-67,0000;-15024,68
178;2025-10-14;2;1;7;4;;RQ000156;67,0000;224,2490;15024,68;-67,0000;-15024,68
179;2025-11-24;2;1;7;8;;RQ000157;52,0000;224,2490;11660,95;-52,0000;-11660,95
180;2025-11-13;2;1;6;12;;RQ000158;52,0000;224,2490;11660,95;-52,0000;-11660,95
181;2025-11-27;2;1;8;2;;RQ000159;52,0000;224,2490;11660,95;-52,0000;-11660,95
182;2025-11-12;2;1;8;9;;RQ000160;52,0000;224,2490;11660,95;-52,0000;-11660,95
183;2025-11-14;2;1;6;6;;RQ000161;52,0000;224,2490;11660,95;-52,0000;-11660,95
184;2026-01-15;2;1;8;3;;RQ000162;12,0000;224,2490;2690,99;-12,0000;-2690,99
185;2026-01-14;2;1;8;10;;RQ000163;12,0000;224,2490;2690,99;-12,0000;-2690,99
186;2026-01-06;2;1;7;4;;RQ000164;12,0000;224,2490;2690,99;-12,0000;-2690,99
187;2026-01-20;2;1;8;7;;RQ000165;12,0000;224,2490;2690,99;-12,0000;-2690,99
188;2026-01-19;2;1;8;8;;RQ000166;12,0000;224,2490;2690,99;-12,0000;-2690,99
189;2026-02-06;2;1;7;2;;RQ000167;146,0000;224,2490;32740,35;-146,0000;-32740,35
190;2026-02-26;2;1;1;;27;NF397979;667,0000;225,5467;150439,65;667,0000;150439,65
191;2026-03-05;2;1;6;9;;RQ000168;19,0000;225,5467;4285,39;-19,0000;-4285,39
192;2026-03-30;2;1;7;8;;RQ000169;19,0000;225,5467;4285,39;-19,0000;-4285,39
193;2026-03-18;2;1;7;3;;RQ000170;19,0000;225,5467;4285,39;-19,0000;-4285,39
194;2026-03-19;2;1;8;8;;RQ000171;19,0000;225,5467;4285,39;-19,0000;-4285,39
195;2026-04-15;2;1;7;6;;RQ000172;34,0000;225,5467;7668,59;-34,0000;-7668,59
196;2026-04-27;2;1;11;3;;PERDA00196;26,0000;225,5467;5864,21;-26,0000;-5864,21
197;2026-05-01;2;1;7;5;;RQ000173;49,0000;225,5467;11051,79;-49,0000;-11051,79
198;2026-05-12;2;1;6;7;;RQ000174;49,0000;225,5467;11051,79;-49,0000;-11051,79
199;2026-05-06;2;1;8;12;;RQ000175;49,0000;225,5467;11051,79;-49,0000;-11051,79
200;2026-06-10;2;1;8;12;;RQ000176;117,0000;225,5467;26388,96;-117,0000;-26388,96
201;2026-06-03;2;1;6;3;;RQ000177;117,0000;225,5467;26388,96;-117,0000;-26388,96
202;2026-06-15;2;1;7;12;;RQ000178;117,0000;225,5467;26388,96;-117,0000;-26388,96
203;2026-06-25;2;1;1;;27;NF489438;616,0000;224,7011;138415,88;616,0000;138415,88
204;2026-08-07;2;1;7;7;;RQ000179;82,0000;224,7011;18425,49;-82,0000;-18425,49
205;2026-08-13;2;1;7;4;;RQ000180;82,0000;224,7011;18425,49;-82,0000;-18425,49
206;2024-09-17;3;1;6;5;;RQ000181;20,0000;110,4900;2209,80;-20,0000;-2209,80
207;2024-09-02;3;1;8;4;;RQ000182;20,0000;110,4900;2209,80;-20,0000;-2209,80
208;2024-09-11;3;1;6;3;;RQ000183;20,0000;110,4900;2209,80;-20,0000;-2209,80
209;2024-09-26;3;1;6;1;;RQ000184;20,0000;110,4900;2209,80;-20,0000;-2209,80
210;2024-09-23;3;1;8;3;;RQ000185;20,0000;110,4900;2209,80;-20,0000;-2209,80
211;2024-10-08;3;1;7;9;;RQ000186;6,0000;111,3377;668,03;-6,0000;-668,03
212;2024-10-24;3;1;6;1;;RQ000187;6,0000;111,3377;668,03;-6,0000;-668,03
213;2024-10-09;3;1;6;8;;RQ000188;6,0000;111,3377;668,03;-6,0000;-668,03
214;2024-10-23;3;1;7;4;;RQ000189;6,0000;111,3377;668,03;-6,0000;-668,03
215;2024-11-13;3;1;1;;25;NF959222;163,0000;112,3943;18320,27;163,0000;18320,27
216;2024-11-18;3;1;1;;25;NF376141;187,0000;112,3943;21017,73;187,0000;21017,73
217;2024-12-12;3;1;8;4;;RQ000190;8,0000;112,3943;899,15;-8,0000;-899,15
218;2024-12-27;3;1;7;4;;RQ000191;8,0000;112,3943;899,15;-8,0000;-899,15
219;2024-12-05;3;1;8;5;;RQ000192;8,0000;112,3943;899,15;-8,0000;-899,15
220;2024-12-04;3;1;8;11;;RQ000193;8,0000;112,3943;899,15;-8,0000;-899,15
221;2024-12-04;3;1;7;4;;RQ000194;8,0000;112,3943;899,15;-8,0000;-899,15
222;2025-01-01;3;1;6;11;;RQ000195;13,0000;112,3943;1461,13;-13,0000;-1461,13
223;2025-02-27;3;1;7;12;;RQ000196;30,0000;112,3943;3371,83;-30,0000;-3371,83
224;2025-02-24;3;1;6;5;;RQ000197;30,0000;112,3943;3371,83;-30,0000;-3371,83
225;2025-02-04;3;1;8;4;;RQ000198;30,0000;112,3943;3371,83;-30,0000;-3371,83
226;2025-02-19;3;1;8;3;;RQ000199;30,0000;112,3943;3371,83;-30,0000;-3371,83
227;2025-03-18;3;1;7;9;;RQ000200;24,0000;112,3943;2697,46;-24,0000;-2697,46
228;2025-03-12;3;1;7;9;;RQ000201;24,0000;112,3943;2697,46;-24,0000;-2697,46
229;2025-04-18;3;1;6;7;;RQ000202;42,0000;112,3943;4720,56;-42,0000;-4720,56
230;2025-04-15;3;1;7;7;;RQ000203;42,0000;112,3943;4720,56;-42,0000;-4720,56
231;2025-05-19;3;1;8;3;;RQ000204;23,0000;111,7638;2570,57;-23,0000;-2570,57
232;2025-05-09;3;1;7;10;;RQ000205;23,0000;111,7638;2570,57;-23,0000;-2570,57
233;2025-05-19;3;1;7;10;;RQ000206;23,0000;111,7638;2570,57;-23,0000;-2570,57
234;2025-05-26;3;1;7;3;;RQ000207;23,0000;111,7638;2570,57;-23,0000;-2570,57
235;2025-05-27;3;1;6;10;;RQ000208;9,0000;111,7638;1005,87;-9,0000;-1005,87
236;2025-06-06;3;1;1;;25;NF990742;142,0000;112,9646;16040,97;142,0000;16040,97
237;2025-06-20;3;1;1;;25;NF731559;243,0000;112,9646;27450,40;243,0000;27450,40
238;2025-06-25;3;1;8;7;;RQ000209;45,0000;112,9646;5083,41;-45,0000;-5083,41
239;2025-10-16;3;1;8;4;;RQ000210;32,0000;112,9646;3614,87;-32,0000;-3614,87
240;2025-10-20;3;1;8;9;;RQ000211;32,0000;112,9646;3614,87;-32,0000;-3614,87
241;2025-11-21;3;1;6;5;;RQ000212;5,0000;112,9646;564,82;-5,0000;-564,82
242;2025-11-20;3;1;6;8;;RQ000213;5,0000;112,9646;564,82;-5,0000;-564,82
243;2025-11-05;3;1;8;2;;RQ000214;5,0000;112,9646;564,82;-5,0000;-564,82
244;2025-11-05;3;1;7;1;;RQ000215;5,0000;112,9646;564,82;-5,0000;-564,82
245;2025-11-11;3;1;6;12;;RQ000216;5,0000;112,9646;564,82;-5,0000;-564,82
246;2025-12-19;3;1;8;9;;RQ000217;94,0000;112,9646;10618,67;-94,0000;-10618,67
247;2026-01-28;3;1;8;7;;RQ000218;15,0000;112,9646;1694,47;-15,0000;-1694,47
248;2026-01-29;3;1;7;8;;RQ000219;15,0000;112,9646;1694,47;-15,0000;-1694,47
249;2026-01-07;3;1;8;8;;RQ000220;15,0000;112,9646;1694,47;-15,0000;-1694,47
250;2026-02-09;3;1;7;1;;RQ000221;112,0000;112,9919;12655,09;-112,0000;-12655,09
251;2026-03-02;3;1;1;;25;NF338475;131,0000;113,0913;14814,96;131,0000;14814,96
252;2026-03-24;3;1;1;;25;NF537605;243,0000;113,0913;27481,19;243,0000;27481,19
253;2026-03-30;3;1;8;6;;RQ000222;24,0000;113,0913;2714,19;-24,0000;-2714,19
254;2026-03-19;3;1;8;11;;RQ000223;24,0000;113,0913;2714,19;-24,0000;-2714,19
255;2026-03-23;3;1;8;9;;RQ000224;24,0000;113,0913;2714,19;-24,0000;-2714,19
256;2026-04-27;3;1;6;12;;RQ000225;51,0000;113,0913;5767,66;-51,0000;-5767,66
257;2026-04-14;3;1;7;8;;RQ000226;51,0000;113,0913;5767,66;-51,0000;-5767,66
258;2026-05-08;3;1;8;1;;RQ000227;18,0000;113,0913;2035,64;-18,0000;-2035,64
259;2026-05-05;3;1;8;10;;RQ000228;18,0000;113,0913;2035,64;-18,0000;-2035,64
260;2026-06-25;3;1;6;5;;RQ000229;51,0000;113,0913;5767,66;-51,0000;-5767,66
261;2026-07-25;3;1;1;;25;NF913920;130,0000;113,8130;14795,69;130,0000;14795,69
262;2026-07-20;3;1;8;7;;RQ000230;179,0000;113,8130;20372,53;-179,0000;-20372,53
263;2026-08-17;3;1;1;;25;NF870881;131,0000;114,9283;15055,61;131,0000;15055,61
264;2024-09-10;4;1;8;1;;RQ000231;61,0000;246,1800;15016,98;-61,0000;-15016,98
265;2024-09-27;4;1;8;8;;RQ000232;61,0000;246,1800;15016,98;-61,0000;-15016,98
266;2024-10-04;4;1;1;;13;NF311741;640,0000;246,1363;157527,23;640,0000;157527,23
267;2024-10-23;4;1;8;12;;RQ000233;45,0000;246,1363;11076,13;-45,0000;-11076,13
268;2024-10-03;4;1;6;12;;RQ000234;45,0000;246,1363;11076,13;-45,0000;-11076,13
269;2024-10-23;4;1;7;12;;RQ000235;45,0000;246,1363;11076,13;-45,0000;-11076,13
270;2024-11-28;4;1;8;3;;RQ000236;17,0000;246,1363;4184,32;-17,0000;-4184,32
271;2024-11-14;4;1;7;5;;RQ000237;17,0000;246,1363;4184,32;-17,0000;-4184,32
272;2024-11-21;4;1;6;2;;RQ000238;17,0000;246,1363;4184,32;-17,0000;-4184,32
273;2024-11-20;4;1;7;1;;RQ000239;17,0000;246,1363;4184,32;-17,0000;-4184,32
274;2024-11-26;4;1;6;10;;RQ000240;17,0000;246,1363;4184,32;-17,0000;-4184,32
275;2024-12-20;4;1;8;9;;RQ000241;99,0000;246,1363;24367,49;-99,0000;-24367,49
276;2024-12-05;4;1;6;11;;RQ000242;99,0000;246,1363;24367,49;-99,0000;-24367,49
