SK_Contagem;DataContagem;CicloInventario;SK_Item;SK_Deposito;QuantidadeSistema;QuantidadeContada;DivergenciaQuantidade;CustoMedio;DivergenciaValor;FlagSemDivergencia;Contador
36;2025-09-25;CIC-202509;13;1;45,0000;45,0000;0,0000;1234,2931;0,00;SIM;Contador C
37;2024-10-16;CIC-202410;14;1;738,0000;738,0000;0,0000;204,7484;0,00;SIM;Contador B
38;2026-01-22;CIC-202601;14;1;632,0000;632,0000;0,0000;207,0260;0,00;SIM;Contador C
39;2024-12-13;CIC-202412;14;2;650,0000;650,0000;0,0000;205,6617;0,00;SIM;Contador C
40;2026-08-20;CIC-202608;14;2;548,0000;548,0000;0,0000;206,0506;0,00;SIM;Contador C
41;2024-12-12;CIC-202412;15;1;222,0000;222,0000;0,0000;39,1880;0,00;SIM;Contador B
42;2025-03-13;CIC-202503;15;1;468,0000;468,0000;0,0000;39,1555;0,00;SIM;Contador C
43;2025-09-30;CIC-202509;15;1;455,0000;455,0000;0,0000;39,7516;0,00;SIM;Contador C
44;2024-12-03;CIC-202412;16;1;44,0000;44,0000;0,0000;27,2607;0,00;SIM;Contador C
45;2026-05-05;CIC-202605;16;1;84,0000;84,0000;0,0000;27,3723;0,00;SIM;Contador B
46;2026-06-12;CIC-202606;16;1;0,0000;0,0000;0,0000;27,4488;0,00;SIM;Contador B
47;2024-11-11;CIC-202411;17;1;52,0000;52,0000;0,0000;136,0387;0,00;SIM;Contador B
48;2025-04-29;CIC-202504;17;1;70,0000;70,0000;0,0000;136,8938;0,00;SIM;Contador B
49;2026-02-09;CIC-202602;17;1;74,0000;74,0000;0,0000;141,0649;0,00;SIM;Contador B
50;2026-04-07;CIC-202604;17;1;97,0000;97,0000;0,0000;141,0649;0,00;SIM;Contador A
51;2026-08-04;CIC-202608;17;1;120,0000;120,0000;0,0000;140,3998;0,00;SIM;Contador C
52;2024-11-26;CIC-202411;17;3;88,0000;88,0000;0,0000;135,0441;0,00;SIM;Contador B
53;2026-03-12;CIC-202603;17;3;136,0000;136,0000;0,0000;141,5513;0,00;SIM;Contador C
54;2025-08-29;CIC-202508;18;1;609,0000;609,0000;0,0000;145,8116;0,00;SIM;Contador C
55;2025-10-03;CIC-202510;18;1;469,0000;469,0000;0,0000;145,8116;0,00;SIM;Contador A
56;2026-03-11;CIC-202603;18;1;449,0000;449,0000;0,0000;146,0104;0,00;SIM;Contador A
57;2024-11-01;CIC-202411;19;1;114,0000;114,0000;0,0000;67,7600;0,00;SIM;Contador C
58;2025-06-24;CIC-202506;19;1;192,0000;192,0000;0,0000;68,2858;0,00;SIM;Contador A
59;2025-03-19;CIC-202503;19;3;126,0000;126,0000;0,0000;68,1303;0,00;SIM;Contador C
60;2026-04-02;CIC-202604;20;3;23,0000;23,0000;0,0000;143,7521;0,00;SIM;Contador C
61;2026-06-24;CIC-202606;20;3;0,0000;0,0000;0,0000;144,6237;0,00;SIM;Contador B
62;2025-07-25;CIC-202507;20;2;74,0000;74,0000;0,0000;145,0248;0,00;SIM;Contador C
63;2026-05-08;CIC-202605;20;2;0,0000;0,0000;0,0000;145,0840;0,00;SIM;Contador B
64;2025-10-07;CIC-202510;21;1;400,0000;393,0000;-7,0000;1162,3001;-8136,10;NAO;Contador B
65;2024-11-29;CIC-202411;22;1;29,0000;29,0000;0,0000;52,9001;0,00;SIM;Contador A
66;2024-11-28;CIC-202411;24;2;56,0000;56,0000;0,0000;71,5581;0,00;SIM;Contador A
67;2026-03-23;CIC-202603;24;2;70,0000;70,0000;0,0000;72,4909;0,00;SIM;Contador A
68;2026-05-20;CIC-202605;24;2;127,0000;127,0000;0,0000;72,6080;0,00;SIM;Contador C
69;2024-10-25;CIC-202410;24;1;66,0000;66,0000;0,0000;70,9400;0,00;SIM;Contador B
70;2025-02-17;CIC-202502;24;1;125,0000;125,0000;0,0000;71,0601;0,00;SIM;Contador A
71;2025-12-26;CIC-202512;24;1;155,0000;155,0000;0,0000;72,1270;0,00;SIM;Contador C
72;2026-01-28;CIC-202601;24;1;110,0000;110,0000;0,0000;72,1270;0,00;SIM;Contador C
73;2025-02-20;CIC-202502;25;1;224,0000;224,0000;0,0000;234,0097;0,00;SIM;Contador A
74;2025-06-17;CIC-202506;25;1;224,0000;224,0000;0,0000;234,0097;0,00;SIM;Contador A
75;2025-07-09;CIC-202507;25;1;224,0000;224,0000;0,0000;234,0097;0,00;SIM;Contador C
76;2024-09-24;CIC-202409;26;2;0,0000;0,0000;0,0000;38,8864;0,00;SIM;Contador C
77;2026-03-30;CIC-202603;26;2;709,0000;709,0000;0,0000;39,1910;0,00;SIM;Contador C
78;2026-05-04;CIC-202605;26;2;709,0000;709,0000;0,0000;39,1910;0,00;SIM;Contador A
79;2025-05-13;CIC-202505;26;3;675,0000;675,0000;0,0000;39,4038;0,00;SIM;Contador B
80;2025-07-15;CIC-202507;26;3;675,0000;675,0000;0,0000;39,4038;0,00;SIM;Contador C
81;2025-12-03;CIC-202512;26;3;675,0000;675,0000;0,0000;39,4038;0,00;SIM;Contador B
82;2026-03-31;CIC-202603;26;3;675,0000;675,0000;0,0000;39,4038;0,00;SIM;Contador A
83;2026-05-12;CIC-202605;27;1;538,0000;538,0000;0,0000;65,4849;0,00;SIM;Contador A
84;2026-05-08;CIC-202605;28;3;169,0000;169,0000;0,0000;348,1620;0,00;SIM;Contador A
85;2025-02-25;CIC-202502;28;1;74,0000;74,0000;0,0000;341,3925;0,00;SIM;Contador C
86;2025-04-16;CIC-202504;28;1;0,0000;0,0000;0,0000;344,9659;0,00;SIM;Contador C
87;2025-06-13;CIC-202506;28;1;132,0000;132,0000;0,0000;342,9964;0,00;SIM;Contador A
88;2025-11-17;CIC-202511;28;1;207,0000;207,0000;0,0000;342,9928;0,00;SIM;Contador A
89;2026-04-30;CIC-202604;28;1;79,0000;79,0000;0,0000;341,6227;0,00;SIM;Contador A
90;2024-11-22;CIC-202411;29;1;120,0000;120,0000;0,0000;195,9893;0,00;SIM;Contador C
91;2025-04-28;CIC-202504;30;1;131,0000;131,0000;0,0000;211,7477;0,00;SIM;Contador B
92;2024-10-16;CIC-202410;31;1;168,0000;168,0000;0,0000;17,3972;0,00;SIM;Contador C
93;2025-02-18;CIC-202502;31;1;33,0000;33,0000;0,0000;17,5352;0,00;SIM;Contador C
94;2026-01-21;CIC-202601;31;1;129,0000;129,0000;0,0000;17,7047;0,00;SIM;Contador A
95;2026-02-13;CIC-202602;31;1;84,0000;84,0000;0,0000;17,7047;0,00;SIM;Contador A
96;2025-04-16;CIC-202504;31;2;152,0000;152,0000;0,0000;17,2133;0,00;SIM;Contador A
97;2025-05-12;CIC-202505;33;1;0,0000;0,0000;0,0000;164,8509;0,00;SIM;Contador A
98;2025-11-26;CIC-202511;33;1;105,0000;105,0000;0,0000;165,0755;0,00;SIM;Contador C
99;2026-06-08;CIC-202606;33;1;95,0000;95,0000;0,0000;168,9156;0,00;SIM;Contador A
100;2025-03-12;CIC-202503;33;2;0,0000;0,0000;0,0000;167,4942;0,00;SIM;Contador B
101;2026-06-11;CIC-202606;33;2;15,0000;15,0000;0,0000;173,4810;0,00;SIM;Contador C
102;2024-10-28;CIC-202410;35;1;164,0000;164,0000;0,0000;26,9904;0,00;SIM;Contador A
103;2024-11-15;CIC-202411;35;1;122,0000;132,0000;10,0000;26,9904;269,90;NAO;Contador C
104;2025-03-13;CIC-202503;35;1;29,0000;29,0000;0,0000;26,9516;0,00;SIM;Contador B
105;2025-05-12;CIC-202505;35;1;57,0000;57,0000;0,0000;27,2602;0,00;SIM;Contador A
106;2025-09-23;CIC-202509;35;1;15,0000;15,0000;0,0000;27,2474;0,00;SIM;Contador A
107;2026-05-11;CIC-202605;35;1;138,0000;138,0000;0,0000;27,3449;0,00;SIM;Contador C
108;2024-12-04;CIC-202412;36;2;301,0000;301,0000;0,0000;964,5437;0,00;SIM;Contador A
109;2026-01-28;CIC-202601;36;1;195,0000;195,0000;0,0000;1000,3644;0,00;SIM;Contador C
110;2025-04-02;CIC-202504;37;1;81,0000;81,0000;0,0000;279,0307;0,00;SIM;Contador B
111;2025-01-20;CIC-202501;38;1;90,0000;90,0000;0,0000;283,0376;0,00;SIM;Contador C
112;2025-10-30;CIC-202510;38;1;90,0000;90,0000;0,0000;283,0376;0,00;SIM;Contador B
113;2024-11-13;CIC-202411;39;3;367,0000;367,0000;0,0000;86,9681;0,00;SIM;Contador A
114;2025-02-17;CIC-202502;39;3;479,0000;480,0000;1,0000;87,7702;87,77;NAO;Contador B
115;2025-11-07;CIC-202511;39;3;289,0000;289,0000;0,0000;87,1647;0,00;SIM;Contador B
116;2026-03-03;CIC-202603;39;3;533,0000;533,0000;0,0000;87,7531;0,00;SIM;Contador B
117;2025-03-04;CIC-202503;39;2;280,0000;280,0000;0,0000;88,5619;0,00;SIM;Contador C
118;2025-12-15;CIC-202512;39;2;443,0000;443,0000;0,0000;89,7457;0,00;SIM;Contador C
119;2026-01-22;CIC-202601;39;2;263,0000;263,0000;0,0000;89,7457;0,00;SIM;Contador A
120;2025-02-18;CIC-202502;41;1;352,0000;352,0000;0,0000;98,3256;0,00;SIM;Contador A
121;2025-11-12;CIC-202511;42;1;211,0000;211,0000;0,0000;98,6635;0,00;SIM;Contador C
122;2025-03-24;CIC-202503;43;3;166,0000;166,0000;0,0000;125,7118;0,00;SIM;Contador C
123;2025-06-05;CIC-202506;43;3;0,0000;0,0000;0,0000;125,7758;0,00;SIM;Contador C
124;2025-07-22;CIC-202507;43;3;177,0000;177,0000;0,0000;125,7758;0,00;SIM;Contador A
125;2025-08-18;CIC-202508;43;3;176,0000;176,0000;0,0000;125,7758;0,00;SIM;Contador A
126;2024-09-20;CIC-202409;44;1;148,0000;148,0000;0,0000;163,0700;0,00;SIM;Contador C
127;2025-09-03;CIC-202509;44;1;35,0000;36,0000;1,0000;167,5575;167,56;NAO;Contador A
128;2026-07-01;CIC-202607;44;1;219,0000;219,0000;0,0000;169,8521;0,00;SIM;Contador A
129;2025-03-05;CIC-202503;45;3;18,0000;18,0000;0,0000;936,8005;0,00;SIM;Contador C
130;2026-08-17;CIC-202608;45;3;115,0000;115,0000;0,0000;998,0767;0,00;SIM;Contador B
131;2024-10-03;CIC-202410;45;2;203,0000;203,0000;0,0000;921,2226;0,00;SIM;Contador A
132;2025-05-08;CIC-202505;45;2;36,0000;36,0000;0,0000;950,1565;0,00;SIM;Contador B
133;2026-07-31;CIC-202607;45;2;128,0000;128,0000;0,0000;1009,5557;0,00;SIM;Contador A
134;2025-04-28;CIC-202504;46;1;61,0000;61,0000;0,0000;221,2598;0,00;SIM;Contador A
135;2026-04-15;CIC-202604;47;1;54,0000;54,0000;0,0000;44,6382;0,00;SIM;Contador A
136;2025-06-16;CIC-202506;48;1;0,0000;0,0000;0,0000;28,1990;0,00;SIM;Contador B
137;2025-06-25;CIC-202506;49;1;296,0000;296,0000;0,0000;119,3997;0,00;SIM;Contador C
138;2025-10-03;CIC-202510;49;1;402,0000;402,0000;0,0000;120,0087;0,00;SIM;Contador B
139;2024-12-16;CIC-202412;50;1;219,0000;219,0000;0,0000;31,5774;0,00;SIM;Contador A
140;2025-01-15;CIC-202501;50;1;150,0000;150,0000;0,0000;31,5233;0,00;SIM;Contador B
141;2025-08-14;CIC-202508;50;1;300,0000;300,0000;0,0000;32,0048;0,00;SIM;Contador C
142;2025-09-18;CIC-202509;50;1;260,0000;260,0000;0,0000;32,0048;0,00;SIM;Contador A
143;2026-05-27;CIC-202605;50;1;314,0000;314,0000;0,0000;32,6039;0,00;SIM;Contador C
144;2026-06-02;CIC-202606;50;1;309,0000;309,0000;0,0000;32,6039;0,00;SIM;Contador B
145;2025-03-17;CIC-202503;51;1;241,0000;241,0000;0,0000;71,1956;0,00;SIM;Contador C
146;2025-05-14;CIC-202505;51;1;186,0000;186,0000;0,0000;71,1956;0,00;SIM;Contador A
147;2025-12-04;CIC-202512;51;1;241,0000;241,0000;0,0000;71,3891;0,00;SIM;Contador A
148;2026-06-10;CIC-202606;51;1;241,0000;241,0000;0,0000;71,3891;0,00;SIM;Contador C
149;2024-12-18;CIC-202412;52;1;111,0000;111,0000;0,0000;132,8694;0,00;SIM;Contador A
150;2026-02-02;CIC-202602;52;1;156,0000;156,0000;0,0000;133,7064;0,00;SIM;Contador C
151;2026-06-23;CIC-202606;52;1;548,0000;548,0000;0,0000;134,4570;0,00;SIM;Contador C
152;2024-11-22;CIC-202411;53;1;61,0000;61,0000;0,0000;1463,2467;0,00;SIM;Contador C
153;2026-05-15;CIC-202605;53;1;16,0000;16,0000;0,0000;1489,5872;0,00;SIM;Contador C
154;2025-08-01;CIC-202508;54;1;32,0000;32,0000;0,0000;219,2718;0,00;SIM;Contador B
155;2026-03-16;CIC-202603;54;1;58,0000;58,0000;0,0000;219,5855;0,00;SIM;Contador C
156;2024-12-16;CIC-202412;55;1;192,0000;192,0000;0,0000;48,0712;0,00;SIM;Contador B
157;2025-04-29;CIC-202504;55;1;32,0000;32,0000;0,0000;48,3637;0,00;SIM;Contador C
158;2026-05-25;CIC-202605;55;1;333,0000;333,0000;0,0000;48,6221;0,00;SIM;Contador C
159;2024-11-15;CIC-202411;55;2;101,0000;101,0000;0,0000;48,3321;0,00;SIM;Contador C
160;2026-01-19;CIC-202601;55;2;108,0000;108,0000;0,0000;48,7954;0,00;SIM;Contador A
161;2024-10-07;CIC-202410;56;3;551,0000;551,0000;0,0000;36,9647;0,00;SIM;Contador A
162;2024-12-31;CIC-202412;56;3;446,0000;446,0000;0,0000;36,9647;0,00;SIM;Contador C
163;2025-04-02;CIC-202504;56;3;64,0000;64,0000;0,0000;36,7984;0,00;SIM;Contador B
164;2025-07-16;CIC-202507;56;3;0,0000;0,0000;0,0000;37,0980;0,00;SIM;Contador B
165;2025-11-14;CIC-202511;56;3;514,0000;514,0000;0,0000;36,9049;0,00;SIM;Contador C
166;2024-12-03;CIC-202412;56;1;223,0000;223,0000;0,0000;37,0632;0,00;SIM;Contador A
167;2025-10-30;CIC-202510;56;1;331,0000;331,0000;0,0000;37,4872;0,00;SIM;Contador C
168;2026-06-15;CIC-202606;57;1;218,0000;218,0000;0,0000;202,0228;0,00;SIM;Contador C
169;2026-07-24;CIC-202607;57;1;218,0000;218,0000;0,0000;202,0228;0,00;SIM;Contador B
170;2026-05-07;CIC-202605;58;3;119,0000;119,0000;0,0000;233,1862;0,00;SIM;Contador A
171;2025-03-05;CIC-202503;58;2;178,0000;178,0000;0,0000;226,1152;0,00;SIM;Contador C
172;2026-06-10;CIC-202606;58;2;218,0000;218,0000;0,0000;227,6162;0,00;SIM;Contador C
173;2024-11-12;CIC-202411;59;1;170,0000;170,0000;0,0000;109,4384;0,00;SIM;Contador C
174;2025-07-18;CIC-202507;59;1;110,0000;110,0000;0,0000;110,7108;0,00;SIM;Contador C
175;2025-08-18;CIC-202508;59;1;110,0000;110,0000;0,0000;110,7108;0,00;SIM;Contador B
176;2025-11-05;CIC-202511;59;1;110,0000;110,0000;0,0000;110,7108;0,00;SIM;Contador B
177;2026-01-26;CIC-202601;59;1;110,0000;110,0000;0,0000;110,7108;0,00;SIM;Contador A
178;2025-09-08;CIC-202509;60;1;108,0000;108,0000;0,0000;329,1138;0,00;SIM;Contador C
179;2026-06-03;CIC-202606;60;1;156,0000;156,0000;0,0000;329,6969;0,00;SIM;Contador C
180;2025-09-24;CIC-202509;60;3;110,0000;110,0000;0,0000;320,7454;0,00;SIM;Contador B
181;2024-09-30;CIC-202409;61;1;0,0000;0,0000;0,0000;760,6004;0,00;SIM;Contador A
182;2025-02-12;CIC-202502;61;1;523,0000;523,0000;0,0000;760,6004;0,00;SIM;Contador B
183;2025-09-18;CIC-202509;61;1;663,0000;663,0000;0,0000;757,1252;0,00;SIM;Contador B
184;2025-11-20;CIC-202511;61;1;539,0000;539,0000;0,0000;757,1252;0,00;SIM;Contador C
185;2026-03-04;CIC-202603;61;1;642,0000;642,0000;0,0000;760,7021;0,00;SIM;Contador C
186;2026-05-25;CIC-202605;61;1;44,0000;44,0000;0,0000;757,9811;0,00;SIM;Contador B
187;2024-12-13;CIC-202412;62;1;869,0000;869,0000;0,0000;73,4351;0,00;SIM;Contador B
188;2025-06-23;CIC-202506;62;1;243,0000;243,0000;0,0000;73,9489;0,00;SIM;Contador B
189;2025-12-03;CIC-202512;62;1;462,0000;462,0000;0,0000;73,9981;0,00;SIM;Contador C
190;2025-05-21;CIC-202505;63;1;249,0000;249,0000;0,0000;39,7258;0,00;SIM;Contador C
191;2025-08-05;CIC-202508;63;1;138,0000;138,0000;0,0000;40,1406;0,00;SIM;Contador B
192;2026-06-10;CIC-202606;63;1;354,0000;354,0000;0,0000;40,3649;0,00;SIM;Contador C
193;2025-07-14;CIC-202507;63;3;284,0000;284,0000;0,0000;40,1720;0,00;SIM;Contador B
194;2024-10-22;CIC-202410;64;1;454,0000;454,0000;0,0000;29,8253;0,00;SIM;Contador A
195;2026-08-10;CIC-202608;64;1;140,0000;140,0000;0,0000;30,4311;0,00;SIM;Contador A
196;2026-01-26;CIC-202601;65;1;164,0000;164,0000;0,0000;115,4143;0,00;SIM;Contador C
197;2025-08-04;CIC-202508;66;2;167,0000;167,0000;0,0000;181,4390;0,00;SIM;Contador A
198;2025-11-05;CIC-202511;66;2;231,0000;231,0000;0,0000;181,4390;0,00;SIM;Contador C
199;2024-11-21;CIC-202411;67;1;117,0000;117,0000;0,0000;126,4599;0,00;SIM;Contador C
200;2025-04-23;CIC-202504;67;1;99,0000;99,0000;0,0000;125,8311;0,00;SIM;Contador A
201;2026-08-26;CIC-202608;67;1;98,0000;98,0000;0,0000;125,8311;0,00;SIM;Contador B
202;2025-10-10;CIC-202510;67;3;115,0000;115,0000;0,0000;128,2239;0,00;SIM;Contador C
203;2025-05-16;CIC-202505;68;1;20,0000;20,0000;0,0000;146,7570;0,00;SIM;Contador C
204;2024-12-02;CIC-202412;69;1;426,0000;426,0000;0,0000;855,8864;0,00;SIM;Contador B
205;2026-02-17;CIC-202602;69;1;524,0000;524,0000;0,0000;858,4284;0,00;SIM;Contador C
206;2025-05-09;CIC-202505;70;2;54,0000;54,0000;0,0000;256,6795;0,00;SIM;Contador A
207;2026-08-04;CIC-202608;70;1;0,0000;0,0000;0,0000;260,7821;0,00;SIM;Contador A
208;2024-10-10;CIC-202410;71;1;153,0000;153,0000;0,0000;44,7703;0,00;SIM;Contador A
209;2025-11-13;CIC-202511;71;1;273,0000;273,0000;0,0000;45,5589;0,00;SIM;Contador B
210;2026-02-10;CIC-202602;71;1;273,0000;273,0000;0,0000;45,5589;0,00;SIM;Contador B
211;2025-02-03;CIC-202502;72;3;426,0000;426,0000;0,0000;40,6581;0,00;SIM;Contador B
212;2025-05-23;CIC-202505;72;2;393,0000;393,0000;0,0000;40,1145;0,00;SIM;Contador A
213;2026-02-26;CIC-202602;73;1;7,0000;7,0000;0,0000;286,7296;0,00;SIM;Contador A
214;2026-02-27;CIC-202602;73;3;91,0000;91,0000;0,0000;274,7403;0,00;SIM;Contador C
215;2025-09-03;CIC-202509;74;1;138,0000;141,0000;3,0000;91,1192;273,36;NAO;Contador C
216;2025-10-09;CIC-202510;74;1;150,0000;150,0000;0,0000;90,8822;0,00;SIM;Contador C
217;2026-01-22;CIC-202601;74;1;154,0000;154,0000;0,0000;91,9953;0,00;SIM;Contador C
218;2025-07-18;CIC-202507;75;2;250,0000;250,0000;0,0000;61,9523;0,00;SIM;Contador C
219;2024-09-30;CIC-202409;75;1;242,0000;242,0000;0,0000;60,0111;0,00;SIM;Contador B
220;2025-04-29;CIC-202504;75;1;227,0000;227,0000;0,0000;61,5857;0,00;SIM;Contador B
221;2025-07-15;CIC-202507;75;1;466,0000;466,0000;0,0000;61,8276;0,00;SIM;Contador A
222;2026-08-19;CIC-202608;76;1;174,0000;174,0000;0,0000;145,3750;0,00;SIM;Contador C
223;2024-11-19;CIC-202411;77;1;465,0000;465,0000;0,0000;1469,8075;0,00;SIM;Contador A
224;2026-03-09;CIC-202603;77;1;128,0000;128,0000;0,0000;1575,7190;0,00;SIM;Contador A
225;2026-08-24;CIC-202608;77;1;46,0000;46,0000;0,0000;1591,4811;0,00;SIM;Contador C
226;2026-06-03;CIC-202606;78;1;0,0000;0,0000;0,0000;95,7856;0,00;SIM;Contador A
227;2026-08-19;CIC-202608;78;1;16,0000;16,0000;0,0000;95,7856;0,00;SIM;Contador A
228;2025-04-23;CIC-202504;79;3;110,0000;110,0000;0,0000;26,0860;0,00;SIM;Contador C
229;2026-05-08;CIC-202605;79;3;110,0000;110,0000;0,0000;26,7904;0,00;SIM;Contador A
230;2026-08-12;CIC-202608;79;3;37,0000;37,0000;0,0000;26,7018;0,00;SIM;Contador B
231;2025-02-24;CIC-202502;79;1;133,0000;133,0000;0,0000;26,1516;0,00;SIM;Contador A
232;2025-07-25;CIC-202507;79;1;75,0000;75,0000;0,0000;26,5798;0,00;SIM;Contador B
233;2025-09-24;CIC-202509;80;1;48,0000;48,0000;0,0000;84,2198;0,00;SIM;Contador A
234;2026-03-26;CIC-202603;80;1;0,0000;0,0000;0,0000;84,8745;0,00;SIM;Contador B
235;2026-06-05;CIC-202606;80;1;12,0000;12,0000;0,0000;85,2135;0,00;SIM;Contador C
236;2026-07-09;CIC-202607;80;1;59,0000;59,0000;0,0000;85,2135;0,00;SIM;Contador C
237;2026-02-05;CIC-202602;81;1;56,0000;56,0000;0,0000;273,7153;0,00;SIM;Contador C
238;2024-10-07;CIC-202410;82;1;52,0000;52,0000;0,0000;70,9433;0,00;SIM;Contador A
239;2024-11-29;CIC-202411;82;1;27,0000;27,0000;0,0000;71,4103;0,00;SIM;Contador B
240;2025-01-31;CIC-202501;82;1;73,0000;73,0000;0,0000;71,4103;0,00;SIM;Contador A
241;2025-08-25;CIC-202508;82;1;76,0000;76,0000;0,0000;71,4172;0,00;SIM;Contador A
242;2026-01-26;CIC-202601;82;1;32,0000;32,0000;0,0000;72,5282;0,00;SIM;Contador B
243;2024-09-23;CIC-202409;83;1;39,0000;39,0000;0,0000;107,2126;0,00;SIM;Contador C
244;2025-02-13;CIC-202502;83;1;137,0000;137,0000;0,0000;107,1621;0,00;SIM;Contador A
245;2026-01-09;CIC-202601;84;1;0,0000;0,0000;0,0000;131,2400;0,00;SIM;Contador C
246;2026-02-25;CIC-202602;84;1;191,0000;191,0000;0,0000;131,2400;0,00;SIM;Contador A
247;2024-10-10;CIC-202410;85;1;31,0000;31,0000;0,0000;227,1969;0,00;SIM;Contador B
248;2025-02-06;CIC-202502;85;1;0,0000;0,0000;0,0000;225,6705;0,00;SIM;Contador C
249;2026-04-09;CIC-202604;85;1;43,0000;43,0000;0,0000;227,7141;0,00;SIM;Contador B
250;2025-04-10;CIC-202504;85;2;34,0000;34,0000;0,0000;233,4152;0,00;SIM;Contador C
251;2026-05-12;CIC-202605;85;2;15,0000;15,0000;0,0000;238,3408;0,00;SIM;Contador B
252;2025-02-21;CIC-202502;86;1;141,0000;141,0000;0,0000;162,6199;0,00;SIM;Contador C
253;2026-02-20;CIC-202602;86;1;23,0000;23,0000;0,0000;167,0971;0,00;SIM;Contador B
254;2025-05-27;CIC-202505;87;1;289,0000;289,0000;0,0000;32,7866;0,00;SIM;Contador B
255;2025-07-11;CIC-202507;87;1;249,0000;249,0000;0,0000;32,7866;0,00;SIM;Contador A
256;2026-03-26;CIC-202603;87;1;206,0000;206,0000;0,0000;32,6065;0,00;SIM;Contador C
257;2026-01-12;CIC-202601;88;1;425,0000;458,0000;33,0000;23,6214;779,51;NAO;Contador C
258;2026-05-21;CIC-202605;88;1;354,0000;354,0000;0,0000;23,5381;0,00;SIM;Contador A
259;2026-08-03;CIC-202608;88;1;262,0000;262,0000;0,0000;23,4509;0,00;SIM;Contador B
260;2025-06-03;CIC-202506;89;1;25,0000;25,0000;0,0000;83,1766;0,00;SIM;Contador B
